date,temp_max,humidity,rainfall
2019-01-01,28.5,46.0,0.0
2019-01-02,28.1,52.0,0.0
2019-01-03,29.0,56.0,0.0
2019-01-04,29.4,48.0,0.0
2019-01-05,28.5,59.0,0.0
2019-01-06,29.0,63.0,0.0
2019-01-07,29.0,61.0,0.0
2019-01-08,28.0,52.0,0.0
2019-01-09,28.9,42.0,0.0
2019-01-10,29.2,43.0,0.0
2019-01-11,28.0,62.0,0.0
2019-01-12,29.1,65.0,0.0
2019-01-13,29.2,66.0,0.0
2019-01-14,29.5,62.0,0.0
2019-01-15,29.5,52.0,0.0
2019-01-16,29.5,41.0,0.0
2019-01-17,29.9,47.0,0.0
2019-01-18,30.1,56.0,0.0
2019-01-19,30.1,46.0,0.0
2019-01-20,31.5,40.0,0.0
2019-01-21,31.8,46.0,0.0
2019-01-22,30.0,57.0,0.0
2019-01-23,30.2,54.0,0.0
2019-01-24,30.4,54.0,0.0
2019-01-25,28.4,64.0,0.4
2019-01-26,28.0,68.0,1.5
2019-01-27,23.8,84.0,3.6
2019-01-28,24.5,81.0,3.0
2019-01-29,25.2,64.0,0.0
2019-01-30,27.0,54.0,0.0
2019-01-31,28.0,59.0,0.0
2019-02-01,28.5,65.0,0.0
2019-02-02,30.2,56.0,0.0
2019-02-03,30.9,50.0,0.0
2019-02-04,31.5,46.0,0.0
2019-02-05,31.1,46.0,0.0
2019-02-06,31.8,50.0,0.0
2019-02-07,31.8,46.0,0.0
2019-02-08,29.3,70.0,1.1
2019-02-09,29.4,58.0,0.0
2019-02-10,30.8,39.0,0.0
2019-02-11,31.3,46.0,0.0
2019-02-12,32.8,44.0,0.0
2019-02-13,34.1,50.0,0.0
2019-02-14,33.8,51.0,0.0
2019-02-15,33.5,47.0,0.0
2019-02-16,31.4,55.0,0.1
2019-02-17,30.6,69.0,0.3
2019-02-18,33.0,54.0,0.0
2019-02-19,34.5,45.0,0.0
2019-02-20,34.0,60.0,0.0
2019-02-21,35.0,52.0,0.1
2019-02-22,36.5,44.0,0.0
2019-02-23,36.0,42.0,0.0
2019-02-24,36.8,36.0,0.0
2019-02-25,34.9,40.0,0.0
2019-02-26,33.3,52.0,0.0
2019-02-27,30.8,68.0,1.2
2019-02-28,31.8,66.0,3.1
2019-03-01,32.5,49.0,0.0
2019-03-02,31.5,68.0,0.1
2019-03-03,33.1,65.0,0.0
2019-03-04,33.8,62.0,0.2
2019-03-05,33.7,61.0,0.0
2019-03-06,34.5,39.0,0.0
2019-03-07,34.8,34.0,0.0
2019-03-08,35.2,32.0,0.0
2019-03-09,34.7,46.0,0.0
2019-03-10,34.8,61.0,0.0
2019-03-11,36.2,49.0,0.0
2019-03-12,36.0,48.0,0.1
2019-03-13,36.5,42.0,0.0
2019-03-14,36.8,34.0,0.0
2019-03-15,37.6,32.0,0.0
2019-03-16,37.4,30.0,0.0
2019-03-17,36.7,47.0,0.0
2019-03-18,35.0,40.0,0.0
2019-03-19,35.0,47.0,0.0
2019-03-20,35.2,54.0,0.0
2019-03-21,34.8,53.0,0.0
2019-03-22,34.9,51.0,0.2
2019-03-23,37.4,44.0,0.0
2019-03-24,38.3,37.0,0.0
2019-03-25,38.8,41.0,0.0
2019-03-26,38.0,37.0,0.0
2019-03-27,38.2,42.0,0.0
2019-03-28,38.9,41.0,0.0
2019-03-29,39.5,38.0,0.0
2019-03-30,40.1,39.0,0.0
2019-03-31,39.6,38.0,0.0
2019-04-01,39.2,39.0,0.0
2019-04-02,38.0,39.0,0.0
2019-04-03,39.3,39.0,0.0
2019-04-04,38.1,46.0,0.1
2019-04-05,38.3,50.0,0.9
2019-04-06,37.8,39.0,0.0
2019-04-07,38.8,44.0,0.0
2019-04-08,37.2,52.0,0.3
2019-04-09,36.7,56.0,0.6
2019-04-10,38.1,54.0,0.2
2019-04-11,39.7,44.0,0.1
2019-04-12,38.8,41.0,0.0
2019-04-13,40.7,37.0,0.4
2019-04-14,40.8,34.0,0.0
2019-04-15,40.8,34.0,0.6
2019-04-16,39.9,30.0,0.0
2019-04-17,38.8,36.0,0.0
2019-04-18,38.6,40.0,0.0
2019-04-19,37.2,53.0,0.0
2019-04-20,35.8,59.0,8.0
2019-04-21,36.6,58.0,0.7
2019-04-22,38.0,49.0,0.0
2019-04-23,39.5,42.0,0.0
2019-04-24,39.4,48.0,0.0
2019-04-25,40.4,42.0,0.0
2019-04-26,41.8,44.0,0.0
2019-04-27,40.8,46.0,0.0
2019-04-28,40.8,49.0,0.0
2019-04-29,40.0,44.0,0.0
