date,temp_max,humidity,rainfall
2019-01-01,23.5,58.0,0.0
2019-01-02,24.5,63.0,0.0
2019-01-03,25.6,59.0,0.0
2019-01-04,24.9,54.0,0.0
2019-01-05,24.8,61.0,0.0
2019-01-06,25.5,65.0,0.0
2019-01-07,25.0,62.0,0.0
2019-01-08,23.7,65.0,0.0
2019-01-09,23.5,64.0,0.0
2019-01-10,23.8,58.0,0.0
2019-01-11,24.5,62.0,0.0
2019-01-12,25.6,64.0,0.0
2019-01-13,26.9,64.0,0.0
2019-01-14,25.9,56.0,0.4
2019-01-15,24.1,44.0,0.0
2019-01-16,24.0,46.0,0.0
2019-01-17,26.0,45.0,0.0
2019-01-18,26.4,40.0,0.0
2019-01-19,26.9,45.0,0.0
2019-01-20,28.2,45.0,0.0
2019-01-21,28.6,49.0,0.0
2019-01-22,28.1,54.0,0.0
2019-01-23,28.1,61.0,0.0
2019-01-24,27.5,61.0,0.2
2019-01-25,25.4,71.0,4.8
2019-01-26,21.3,78.0,9.8
2019-01-27,22.8,74.0,0.3
2019-01-28,23.4,60.0,0.1
2019-01-29,21.9,42.0,0.0
2019-01-30,22.6,49.0,0.0
2019-01-31,24.5,56.0,0.0
2019-02-01,26.2,55.0,0.0
2019-02-02,28.5,54.0,0.0
2019-02-03,28.8,50.0,0.0
2019-02-04,29.8,51.0,0.0
2019-02-05,30.2,48.0,0.0
2019-02-06,31.0,47.0,0.0
2019-02-07,30.6,49.0,0.1
2019-02-08,22.7,77.0,6.4
2019-02-09,25.2,51.0,1.6
2019-02-10,24.5,43.0,0.0
2019-02-11,26.5,48.0,0.0
2019-02-12,29.4,48.0,0.0
2019-02-13,31.0,47.0,0.0
2019-02-14,31.9,48.0,0.0
2019-02-15,30.7,52.0,0.5
2019-02-16,27.1,74.0,4.4
2019-02-17,28.1,48.0,0.0
2019-02-18,28.3,50.0,0.0
2019-02-19,31.6,50.0,0.0
2019-02-20,33.2,49.0,0.0
2019-02-21,34.1,46.0,0.0
2019-02-22,35.5,49.0,0.0
2019-02-23,34.0,48.0,0.0
2019-02-24,33.3,48.0,0.0
2019-02-25,31.3,53.0,0.0
2019-02-26,31.2,45.0,0.0
2019-02-27,31.0,46.0,0.0
2019-02-28,29.0,42.0,0.0
2019-03-01,28.6,39.0,0.0
2019-03-02,30.5,44.0,0.0
2019-03-03,32.2,54.0,0.1
2019-03-04,32.2,60.0,1.6
2019-03-05,31.1,49.0,1.0
2019-03-06,30.0,42.0,0.0
2019-03-07,30.2,36.0,0.0
2019-03-08,31.5,35.0,0.0
2019-03-09,33.6,34.0,0.0
2019-03-10,34.7,34.0,0.0
2019-03-11,35.0,37.0,0.0
2019-03-12,35.0,46.0,0.0
2019-03-13,35.7,46.0,0.0
2019-03-14,34.0,52.0,0.3
2019-03-15,32.4,59.0,3.6
2019-03-16,33.0,56.0,0.1
2019-03-17,31.9,59.0,3.6
2019-03-18,28.9,72.0,4.8
2019-03-19,30.2,71.0,0.8
2019-03-20,31.5,61.0,1.6
2019-03-21,32.8,70.0,0.0
2019-03-22,34.8,57.0,0.5
2019-03-23,33.9,35.0,0.0
2019-03-24,34.5,30.0,0.0
2019-03-25,35.8,36.0,0.0
2019-03-26,35.7,36.0,0.0
2019-03-27,35.0,36.0,0.0
2019-03-28,36.0,30.0,0.0
2019-03-29,38.8,30.0,0.0
2019-03-30,39.3,29.0,0.0
2019-03-31,40.4,24.0,0.0
2019-04-01,39.2,28.0,0.0
2019-04-02,37.7,23.0,0.0
2019-04-03,38.2,26.0,0.0
2019-04-04,39.2,29.0,0.0
2019-04-05,38.1,32.0,0.0
2019-04-06,38.2,27.0,0.0
2019-04-07,39.1,29.0,0.0
2019-04-08,37.9,34.0,0.0
2019-04-09,37.3,40.0,0.0
2019-04-10,39.5,34.0,0.0
2019-04-11,38.6,30.0,0.0
2019-04-12,39.3,31.0,0.0
2019-04-13,39.3,29.0,0.0
2019-04-14,40.8,26.0,0.0
2019-04-15,40.7,26.0,0.0
2019-04-16,36.7,35.0,0.0
2019-04-17,34.6,45.0,0.1
2019-04-18,35.6,46.0,0.1
2019-04-19,35.6,55.0,1.5
2019-04-20,34.8,56.0,0.0
2019-04-21,36.3,53.0,2.2
2019-04-22,37.5,41.0,0.0
2019-04-23,40.0,30.0,0.0
2019-04-24,40.6,30.0,0.0
2019-04-25,42.2,28.0,0.0
2019-04-26,41.3,27.0,0.0
2019-04-27,43.2,21.0,0.0
2019-04-28,44.0,19.0,0.0
2019-04-29,43.1,22.0,0.0
2019-04-30,42.8,26.0,0.0
2019-05-01,41.2,31.0,0.0
2019-05-02,38.8,45.0,0.0
2019-05-03,39.3,45.0,0.0
2019-05-04,37.5,45.0,0.0
2019-05-05,38.1,42.0,0.0
2019-05-06,40.3,26.0,0.0
2019-05-07,42.7,19.0,0.0
2019-05-08,43.3,17.0,0.0
2019-05-09,43.5,16.0,0.0
2019-05-10,43.8,14.0,0.0
2019-05-11,40.8,23.0,0.0
2019-05-12,42.4,23.0,0.0
2019-05-13,41.5,23.0,0.0
2019-05-14,40.5,25.0,0.0
2019-05-15,41.6,24.0,0.0
2019-05-16,40.8,29.0,0.0
2019-05-17,43.3,26.0,0.0
2019-05-18,42.2,21.0,0.0
2019-05-19,41.0,22.0,0.0
2019-05-20,41.2,25.0,0.0
2019-05-21,42.8,23.0,0.0
2019-05-22,42.4,32.0,0.0
2019-05-23,43.5,27.0,0.0
2019-05-24,44.7,24.0,0.0
2019-05-25,44.0,23.0,0.0
2019-05-26,42.1,26.0,0.0
2019-05-27,43.5,25.0,0.0
2019-05-28,41.3,34.0,0.0
2019-05-29,42.2,44.0,0.0
2019-05-30,42.8,34.0,0.0
2019-05-31,41.8,38.0,0.3
2019-06-01,40.2,41.0,0.1
2019-06-02,43.3,39.0,0.0
2019-06-03,42.2,43.0,0.1
2019-06-04,41.7,41.0,0.0
2019-06-05,43.0,33.0,0.0
2019-06-06,42.7,35.0,0.0
2019-06-07,40.2,47.0,0.0
2019-06-08,39.7,51.0,0.0
2019-06-09,42.0,39.0,0.0
2019-06-10,42.5,33.0,0.0
2019-06-11,43.8,29.0,0.0
2019-06-12,42.2,32.0,0.0
2019-06-13,41.4,44.0,0.4
2019-06-14,41.3,52.0,1.0
2019-06-15,39.0,46.0,0.0
2019-06-16,36.8,60.0,5.3
2019-06-17,37.3,58.0,1.6
2019-06-18,38.3,55.0,0.3
2019-06-19,37.8,54.0,0.3
2019-06-20,38.8,57.0,3.7
2019-06-21,36.4,63.0,3.7
2019-06-22,29.5,88.0,30.2
2019-06-23,30.2,85.0,33.6
2019-06-24,32.8,78.0,2.9
2019-06-25,35.3,65.0,0.1
2019-06-26,36.5,62.0,0.4
2019-06-27,36.4,70.0,8.2
2019-06-28,33.3,74.0,5.5
2019-06-29,33.0,74.0,4.9
2019-06-30,33.7,76.0,10.8
2019-07-01,33.0,83.0,38.9
2019-07-02,28.2,95.0,54.1
2019-07-03,30.4,84.0,27.6
2019-07-04,28.7,87.0,7.7
2019-07-05,30.8,84.0,10.0
2019-07-06,27.8,88.0,17.3
2019-07-07,30.5,82.0,2.9
2019-07-08,29.6,88.0,41.0
2019-07-09,31.0,84.0,3.9
2019-07-10,31.0,82.0,5.6
2019-07-11,31.0,78.0,2.3
2019-07-12,32.6,74.0,0.5
2019-07-13,33.8,70.0,0.1
2019-07-14,33.8,65.0,0.0
2019-07-15,33.4,72.0,1.4
2019-07-16,33.8,72.0,0.1
2019-07-17,35.1,70.0,0.0
2019-07-18,32.7,78.0,5.3
2019-07-19,33.6,84.0,13.9
2019-07-20,32.3,82.0,5.3
2019-07-21,33.0,80.0,5.5
2019-07-22,32.2,81.0,3.2
2019-07-23,32.7,79.0,2.5
2019-07-24,31.7,83.0,13.5
2019-07-25,31.9,88.0,21.4
2019-07-26,30.1,87.0,8.0
2019-07-27,29.9,85.0,6.4
2019-07-28,30.0,88.0,9.6
2019-07-29,28.5,91.0,27.5
2019-07-30,26.5,89.0,7.7
2019-07-31,28.9,82.0,0.6
2019-08-01,30.2,84.0,4.6
2019-08-02,29.5,88.0,9.0
2019-08-03,29.0,87.0,3.4
2019-08-04,29.2,83.0,3.7
