date,temp_max,humidity,rainfall
2019-01-01,23.9,65.0,0.0
2019-01-02,25.1,68.0,0.0
2019-01-03,26.0,69.0,0.0
2019-01-04,25.0,65.0,0.0
2019-01-05,25.3,67.0,0.0
2019-01-06,26.0,71.0,0.0
2019-01-07,25.5,66.0,0.0
2019-01-08,23.0,62.0,0.0
2019-01-09,23.7,65.0,0.0
2019-01-10,24.0,67.0,0.0
2019-01-11,25.0,66.0,0.0
2019-01-12,26.2,70.0,0.0
2019-01-13,26.9,72.0,0.0
2019-01-14,25.9,70.0,0.1
2019-01-15,23.9,52.0,0.0
2019-01-16,24.1,59.0,0.0
2019-01-17,26.0,62.0,0.0
2019-01-18,26.0,57.0,0.0
2019-01-19,26.0,54.0,0.0
2019-01-20,27.7,60.0,0.0
2019-01-21,28.8,59.0,0.0
2019-01-22,27.9,62.0,0.0
2019-01-23,27.8,69.0,0.0
2019-01-24,27.0,73.0,1.7
2019-01-25,25.4,77.0,3.7
2019-01-26,22.4,81.0,7.5
2019-01-27,22.6,79.0,0.3
2019-01-28,23.1,67.0,0.3
2019-01-29,22.0,45.0,0.0
2019-01-30,22.5,55.0,0.0
2019-01-31,24.9,62.0,0.0
2019-02-01,26.3,59.0,0.0
2019-02-02,28.2,61.0,0.0
2019-02-03,28.6,58.0,0.0
2019-02-04,28.8,59.0,0.0
2019-02-05,29.2,58.0,0.0
2019-02-06,30.4,55.0,0.0
2019-02-07,30.0,56.0,0.0
2019-02-08,22.2,85.0,6.3
2019-02-09,24.5,52.0,0.3
2019-02-10,24.1,49.0,0.0
2019-02-11,26.2,56.0,0.0
2019-02-12,28.8,55.0,0.0
2019-02-13,30.2,59.0,0.0
2019-02-14,31.3,62.0,0.0
2019-02-15,29.9,64.0,0.9
2019-02-16,26.6,79.0,10.9
2019-02-17,28.0,63.0,0.0
2019-02-18,28.1,57.0,0.0
2019-02-19,31.0,61.0,0.0
2019-02-20,32.0,57.0,0.0
2019-02-21,32.9,58.0,0.0
2019-02-22,34.0,58.0,0.0
2019-02-23,33.4,59.0,0.0
2019-02-24,32.6,58.0,0.0
2019-02-25,31.5,55.0,0.0
2019-02-26,30.6,48.0,0.0
2019-02-27,30.9,47.0,0.0
2019-02-28,28.2,50.0,0.0
2019-03-01,28.2,46.0,0.0
2019-03-02,30.5,51.0,0.0
2019-03-03,31.2,64.0,0.2
2019-03-04,33.1,61.0,0.0
2019-03-05,32.9,51.0,0.1
2019-03-06,29.5,46.0,0.0
2019-03-07,29.9,41.0,0.0
2019-03-08,30.9,41.0,0.0
2019-03-09,33.5,43.0,0.0
2019-03-10,35.2,39.0,0.0
2019-03-11,33.5,45.0,0.0
2019-03-12,34.3,56.0,0.0
2019-03-13,34.8,52.0,0.0
2019-03-14,33.5,53.0,0.0
2019-03-15,31.6,60.0,3.3
2019-03-16,33.3,59.0,0.0
2019-03-17,32.7,59.0,1.7
2019-03-18,30.2,66.0,0.7
2019-03-19,31.0,67.0,0.0
2019-03-20,32.4,69.0,8.0
2019-03-21,33.8,69.0,1.7
2019-03-22,35.2,54.0,0.9
2019-03-23,34.7,42.0,0.0
2019-03-24,34.9,42.0,0.0
2019-03-25,36.2,39.0,0.0
2019-03-26,36.5,38.0,0.0
2019-03-27,35.4,40.0,0.0
2019-03-28,36.0,32.0,0.0
2019-03-29,37.7,38.0,0.0
2019-03-30,39.3,32.0,0.0
2019-03-31,39.8,30.0,0.0
2019-04-01,38.0,33.0,0.0
2019-04-02,37.5,31.0,0.0
2019-04-03,38.4,33.0,0.0
2019-04-04,38.8,36.0,0.0
2019-04-05,37.0,32.0,0.0
2019-04-06,37.7,30.0,0.0
2019-04-07,38.9,29.0,0.0
2019-04-08,37.0,35.0,0.2
2019-04-09,37.3,41.0,0.1
2019-04-10,40.4,35.0,0.0
2019-04-11,37.7,34.0,0.0
2019-04-12,37.9,35.0,0.0
2019-04-13,38.5,34.0,0.0
2019-04-14,41.0,29.0,0.0
2019-04-15,40.5,31.0,0.0
2019-04-16,35.0,40.0,0.1
2019-04-17,35.2,46.0,0.0
2019-04-18,35.5,49.0,0.1
2019-04-19,35.4,50.0,1.1
2019-04-20,35.7,55.0,0.3
2019-04-21,36.0,51.0,2.1
2019-04-22,37.5,39.0,0.0
2019-04-23,40.2,29.0,0.0
2019-04-24,41.0,27.0,0.0
2019-04-25,41.3,29.0,0.0
2019-04-26,41.6,27.0,0.0
2019-04-27,41.5,26.0,0.0
2019-04-28,42.5,25.0,0.0
2019-04-29,42.7,26.0,0.0
2019-04-30,42.2,30.0,0.0
2019-05-01,40.6,34.0,0.0
2019-05-02,38.5,43.0,0.0
2019-05-03,39.2,46.0,0.0
2019-05-04,38.8,45.0,0.1
2019-05-05,38.8,43.0,0.0
2019-05-06,40.4,28.0,0.0
2019-05-07,42.0,25.0,0.0
2019-05-08,42.5,21.0,0.0
2019-05-09,42.5,18.0,0.0
2019-05-10,43.0,19.0,0.0
2019-05-11,40.2,28.0,0.0
2019-05-12,42.3,26.0,0.0
2019-05-13,40.8,23.0,0.0
2019-05-14,40.5,26.0,0.0
2019-05-15,40.8,27.0,0.0
2019-05-16,40.7,31.0,0.0
2019-05-17,42.8,25.0,0.0
2019-05-18,42.0,25.0,0.0
2019-05-19,40.5,28.0,0.0
2019-05-20,41.2,27.0,0.0
2019-05-21,42.4,27.0,0.0
2019-05-22,41.5,32.0,0.0
2019-05-23,43.0,26.0,0.0
2019-05-24,43.2,27.0,0.0
2019-05-25,43.6,23.0,0.0
2019-05-26,42.1,26.0,0.0
2019-05-27,42.8,27.0,0.0
2019-05-28,42.0,37.0,0.5
2019-05-29,41.5,41.0,0.2
2019-05-30,41.9,36.0,0.0
2019-05-31,41.2,38.0,0.0
2019-06-01,39.8,42.0,0.3
2019-06-02,42.8,39.0,0.0
2019-06-03,42.2,41.0,0.0
2019-06-04,41.7,39.0,0.0
2019-06-05,43.4,34.0,0.0
2019-06-06,43.2,34.0,0.0
2019-06-07,41.3,47.0,0.1
2019-06-08,39.8,53.0,0.8
2019-06-09,41.0,38.0,0.0
2019-06-10,42.4,35.0,0.0
2019-06-11,43.5,31.0,0.0
2019-06-12,42.2,35.0,0.0
2019-06-13,40.9,40.0,0.0
2019-06-14,40.5,48.0,0.2
2019-06-15,39.9,47.0,0.5
2019-06-16,35.8,60.0,0.5
2019-06-17,38.0,60.0,6.4
2019-06-18,38.3,53.0,0.4
2019-06-19,39.0,55.0,0.2
2019-06-20,38.5,57.0,0.8
2019-06-21,37.0,55.0,0.0
2019-06-22,30.6,84.0,24.0
2019-06-23,31.9,81.0,11.4
2019-06-24,34.2,73.0,2.6
2019-06-25,36.4,60.0,0.1
2019-06-26,38.5,54.0,0.6
2019-06-27,37.0,61.0,9.1
2019-06-28,33.5,73.0,9.3
2019-06-29,33.7,77.0,6.3
2019-06-30,33.7,77.0,9.4
2019-07-01,34.2,82.0,23.0
2019-07-02,27.4,94.0,59.6
2019-07-03,31.1,84.0,28.4
2019-07-04,29.8,83.0,4.6
2019-07-05,30.9,85.0,9.1
2019-07-06,27.7,89.0,52.6
2019-07-07,29.2,83.0,2.2
2019-07-08,30.4,83.0,7.1
2019-07-09,31.6,82.0,2.5
2019-07-10,31.8,80.0,3.6
2019-07-11,31.0,77.0,2.6
2019-07-12,32.5,73.0,0.6
2019-07-13,32.8,69.0,1.0
2019-07-14,33.3,64.0,0.8
2019-07-15,34.1,67.0,0.3
2019-07-16,35.0,61.0,0.1
2019-07-17,36.0,63.0,0.1
2019-07-18,34.3,75.0,1.2
2019-07-19,34.3,81.0,14.3
2019-07-20,33.1,82.0,7.5
2019-07-21,32.8,78.0,6.2
2019-07-22,33.0,78.0,4.1
2019-07-23,34.2,75.0,0.9
2019-07-24,33.5,78.0,10.6
2019-07-25,33.5,84.0,16.6
2019-07-26,29.4,88.0,7.7
2019-07-27,30.5,84.0,3.5
2019-07-28,30.0,88.0,12.9
2019-07-29,28.2,90.0,19.9
2019-07-30,26.9,89.0,9.2
2019-07-31,26.5,86.0,7.0
2019-08-01,30.0,82.0,5.9
2019-08-02,30.6,87.0,10.7
2019-08-03,27.9,89.0,13.0
2019-08-04,30.6,81.0,7.8
2019-08-05,31.7,80.0,1.9
2019-08-06,31.9,87.0,18.6
2019-08-07,30.4,88.0,66.9
2019-08-08,26.3,92.0,68.2
2019-08-09,30.5,82.0,3.7
2019-08-10,31.4,80.0,0.3
2019-08-11,31.8,83.0,1.9
2019-08-12,30.5,82.0,18.5
2019-08-13,28.9,92.0,29.4
2019-08-14,27.0,93.0,49.4
2019-08-15,31.4,80.0,2.2
2019-08-16,32.8,76.0,0.5
2019-08-17,33.2,75.0,0.9
2019-08-18,30.3,81.0,2.6
2019-08-19,31.4,88.0,12.3
2019-08-20,29.6,87.0,7.8
2019-08-21,30.6,86.0,10.1
2019-08-22,29.8,86.0,20.7
2019-08-23,31.8,88.0,8.0
2019-08-24,29.7,92.0,17.4
2019-08-25,28.5,90.0,9.2
2019-08-26,28.8,91.0,10.6
2019-08-27,30.1,83.0,2.4
2019-08-28,30.5,82.0,2.4
2019-08-29,30.6,87.0,5.3
2019-08-30,30.8,89.0,26.3
2019-08-31,32.0,87.0,6.6
2019-09-01,30.7,88.0,6.4
2019-09-02,29.9,91.0,19.4
2019-09-03,31.8,89.0,19.5
2019-09-04,30.0,89.0,22.4
2019-09-05,31.5,87.0,14.2
2019-09-06,30.5,89.0,15.3
2019-09-07,30.4,91.0,33.3
2019-09-08,28.6,91.0,35.8
2019-09-09,30.5,84.0,2.0
2019-09-10,31.0,83.0,3.8
2019-09-11,28.0,90.0,18.3
2019-09-12,29.6,91.0,21.7
2019-09-13,30.6,84.0,2.0
2019-09-14,30.3,82.0,1.0
2019-09-15,30.8,85.0,1.5
2019-09-16,30.8,85.0,3.3
2019-09-17,30.8,88.0,10.1
2019-09-18,31.5,85.0,0.7
2019-09-19,31.2,83.0,2.4
2019-09-20,30.5,88.0,4.6
2019-09-21,31.0,87.0,4.1
2019-09-22,32.7,86.0,3.8
2019-09-23,31.1,86.0,6.7
2019-09-24,30.0,89.0,16.4
2019-09-25,24.9,96.0,76.9
2019-09-26,29.5,91.0,16.1
2019-09-27,28.0,91.0,10.6
2019-09-28,26.3,92.0,18.7
2019-09-29,28.1,92.0,21.0
2019-09-30,28.7,87.0,7.0
2019-10-01,31.1,85.0,5.9
2019-10-02,30.9,80.0,1.3
2019-10-03,31.4,77.0,0.2
2019-10-04,30.8,79.0,0.4
2019-10-05,31.0,76.0,0.3
2019-10-06,29.9,84.0,4.1
2019-10-07,30.8,83.0,4.9
2019-10-08,31.0,84.0,0.5
2019-10-09,30.2,84.0,0.6
2019-10-10,30.6,80.0,0.2
2019-10-11,31.1,77.0,0.2
2019-10-12,30.5,80.0,0.2
2019-10-13,31.0,76.0,0.0
