date,temp_max,humidity,rainfall
2019-01-01,22.2,66.0,0.0
2019-01-02,23.7,61.0,0.0
2019-01-03,22.9,57.0,0.0
2019-01-04,23.5,57.0,0.0
2019-01-05,24.4,58.0,0.0
2019-01-06,26.7,57.0,0.0
2019-01-07,24.1,57.0,0.2
2019-01-08,21.5,73.0,0.0
2019-01-09,22.1,63.0,0.0
2019-01-10,21.9,60.0,0.0
2019-01-11,23.0,59.0,0.0
2019-01-12,23.9,62.0,0.0
2019-01-13,26.9,63.0,0.0
2019-01-14,23.1,61.0,0.0
2019-01-15,21.5,50.0,0.0
2019-01-16,22.1,49.0,0.0
2019-01-17,23.9,49.0,0.0
2019-01-18,23.5,53.0,0.0
2019-01-19,24.1,54.0,0.0
2019-01-20,25.8,47.0,0.0
2019-01-21,27.6,46.0,0.0
2019-01-22,29.8,39.0,0.0
2019-01-23,25.4,56.0,0.0
2019-01-24,22.5,76.0,2.5
2019-01-25,19.5,86.0,5.4
2019-01-26,16.5,94.0,5.1
2019-01-27,19.5,83.0,1.1
2019-01-28,20.0,66.0,0.5
2019-01-29,19.5,59.0,0.0
2019-01-30,20.9,59.0,0.0
2019-01-31,24.5,55.0,0.0
2019-02-01,26.8,52.0,0.0
2019-02-02,27.0,50.0,0.0
2019-02-03,27.2,52.0,0.0
2019-02-04,27.2,55.0,0.0
2019-02-05,28.5,56.0,0.0
2019-02-06,30.1,58.0,0.0
2019-02-07,31.3,48.0,0.0
2019-02-08,25.6,71.0,10.1
2019-02-09,21.4,59.0,6.3
2019-02-10,22.6,56.0,0.0
2019-02-11,23.5,58.0,0.0
2019-02-12,26.6,57.0,0.0
2019-02-13,28.6,57.0,0.0
2019-02-14,29.4,56.0,0.0
2019-02-15,27.5,61.0,3.1
2019-02-16,26.4,74.0,4.6
2019-02-17,23.5,59.0,0.0
2019-02-18,25.5,59.0,0.0
2019-02-19,29.8,49.0,0.0
2019-02-20,30.6,51.0,0.0
2019-02-21,34.5,46.0,0.0
2019-02-22,34.8,44.0,0.0
2019-02-23,29.4,59.0,0.0
2019-02-24,31.0,48.0,0.1
2019-02-25,29.3,57.0,1.5
2019-02-26,27.5,54.0,0.7
2019-02-27,29.4,48.0,0.1
2019-02-28,24.6,56.0,0.4
2019-03-01,25.4,48.0,0.0
2019-03-02,28.2,43.0,0.0
2019-03-03,26.9,60.0,5.1
2019-03-04,28.0,66.0,1.5
2019-03-05,26.4,62.0,2.1
2019-03-06,26.6,51.0,0.0
2019-03-07,27.0,44.0,0.0
2019-03-08,28.5,40.0,0.0
2019-03-09,31.4,36.0,0.0
2019-03-10,32.3,40.0,0.0
2019-03-11,32.2,44.0,0.0
2019-03-12,34.8,38.0,0.0
2019-03-13,33.7,45.0,0.0
2019-03-14,31.0,61.0,0.4
2019-03-15,29.3,72.0,1.7
2019-03-16,30.0,67.0,0.0
2019-03-17,29.8,59.0,5.1
2019-03-18,29.6,62.0,0.7
2019-03-19,29.9,54.0,0.0
2019-03-20,31.8,38.0,0.0
2019-03-21,33.2,48.0,0.1
2019-03-22,32.9,43.0,0.1
2019-03-23,31.7,32.0,0.0
2019-03-24,33.0,33.0,0.0
2019-03-25,34.7,35.0,0.0
2019-03-26,30.2,44.0,0.0
2019-03-27,32.1,44.0,0.0
2019-03-28,33.8,37.0,0.0
2019-03-29,34.3,38.0,0.0
2019-03-30,36.8,38.0,0.0
2019-03-31,38.5,26.0,0.0
2019-04-01,36.0,28.0,0.0
2019-04-02,35.6,26.0,0.0
2019-04-03,36.5,26.0,0.0
2019-04-04,38.8,28.0,0.0
2019-04-05,38.1,33.0,0.0
2019-04-06,38.6,42.0,0.0
2019-04-07,37.0,42.0,0.0
2019-04-08,36.8,43.0,0.4
2019-04-09,36.6,39.0,0.0
2019-04-10,38.2,37.0,0.0
2019-04-11,37.5,42.0,0.0
2019-04-12,38.7,33.0,0.0
2019-04-13,38.5,31.0,0.0
2019-04-14,39.5,26.0,0.0
2019-04-15,40.1,26.0,0.0
2019-04-16,36.7,32.0,0.0
2019-04-17,30.0,56.0,2.0
2019-04-18,33.2,50.0,0.3
2019-04-19,32.8,52.0,0.1
2019-04-20,32.7,50.0,0.0
2019-04-21,32.7,49.0,0.6
2019-04-22,34.8,42.0,0.0
2019-04-23,36.3,33.0,0.0
2019-04-24,36.3,41.0,0.0
2019-04-25,38.2,40.0,0.0
2019-04-26,39.8,31.0,0.0
2019-04-27,40.0,27.0,0.0
2019-04-28,40.3,22.0,0.0
2019-04-29,41.2,22.0,0.0
2019-04-30,41.5,25.0,0.0
2019-05-01,41.1,34.0,0.0
2019-05-02,38.3,42.0,0.0
2019-05-03,34.0,59.0,0.1
2019-05-04,36.1,56.0,0.0
2019-05-05,36.2,39.0,0.0
2019-05-06,38.5,22.0,0.0
2019-05-07,40.3,16.0,0.0
2019-05-08,41.0,17.0,0.0
2019-05-09,41.2,17.0,0.0
2019-05-10,41.0,14.0,0.0
2019-05-11,40.3,21.0,0.0
2019-05-12,40.3,23.0,0.0
2019-05-13,38.8,27.0,0.0
2019-05-14,38.2,30.0,0.0
2019-05-15,38.8,27.0,0.0
2019-05-16,39.8,28.0,0.0
2019-05-17,39.8,28.0,0.0
2019-05-18,38.9,27.0,0.0
2019-05-19,37.8,31.0,0.0
2019-05-20,39.5,29.0,0.0
2019-05-21,40.6,26.0,0.0
2019-05-22,41.5,26.0,0.0
2019-05-23,40.9,31.0,0.0
2019-05-24,41.0,32.0,0.0
2019-05-25,38.8,36.0,0.0
2019-05-26,39.0,33.0,0.0
2019-05-27,40.8,27.0,0.0
2019-05-28,40.7,26.0,0.0
2019-05-29,40.8,29.0,0.0
2019-05-30,41.5,25.0,0.0
2019-05-31,41.8,27.0,0.0
2019-06-01,39.3,40.0,0.1
2019-06-02,40.5,35.0,0.0
2019-06-03,39.2,46.0,0.0
2019-06-04,39.6,47.0,0.0
2019-06-05,39.5,45.0,0.0
2019-06-06,39.7,51.0,0.0
2019-06-07,38.5,52.0,0.0
2019-06-08,39.5,41.0,0.0
2019-06-09,41.0,30.0,0.0
2019-06-10,42.8,27.0,0.0
2019-06-11,43.0,27.0,0.0
2019-06-12,42.7,39.0,0.0
2019-06-13,40.2,46.0,0.2
2019-06-14,38.2,53.0,2.1
2019-06-15,40.4,46.0,0.4
2019-06-16,38.8,50.0,2.2
2019-06-17,37.5,53.0,0.4
2019-06-18,37.3,52.0,0.7
2019-06-19,38.3,57.0,0.9
2019-06-20,36.7,68.0,12.8
2019-06-21,33.8,76.0,8.6
2019-06-22,27.3,93.0,41.2
2019-06-23,32.1,79.0,3.4
2019-06-24,32.2,72.0,0.2
2019-06-25,34.2,65.0,0.0
2019-06-26,35.7,66.0,4.2
2019-06-27,32.0,75.0,6.2
2019-06-28,35.0,70.0,1.6
2019-06-29,34.1,71.0,2.1
2019-06-30,33.5,72.0,0.3
2019-07-01,32.7,82.0,11.8
2019-07-02,28.8,90.0,43.3
2019-07-03,31.5,79.0,3.4
2019-07-04,30.4,82.0,2.4
2019-07-05,32.0,84.0,6.4
2019-07-06,30.3,89.0,9.5
2019-07-07,28.0,93.0,82.1
2019-07-08,29.8,89.0,55.8
2019-07-09,27.7,89.0,21.6
2019-07-10,29.5,83.0,3.5
2019-07-11,28.6,84.0,2.8
2019-07-12,30.8,77.0,0.3
2019-07-13,31.9,75.0,0.0
2019-07-14,32.3,70.0,0.0
2019-07-15,33.2,67.0,0.2
2019-07-16,32.2,72.0,0.3
2019-07-17,32.8,76.0,1.0
2019-07-18,32.7,77.0,2.2
2019-07-19,33.3,84.0,14.6
2019-07-20,32.3,79.0,2.2
2019-07-21,33.8,76.0,2.3
2019-07-22,34.0,80.0,9.6
2019-07-23,33.8,77.0,2.4
2019-07-24,31.6,84.0,12.5
2019-07-25,30.9,87.0,17.5
2019-07-26,30.0,85.0,2.8
2019-07-27,28.2,90.0,8.0
2019-07-28,30.0,87.0,5.8
2019-07-29,30.3,86.0,2.5
2019-07-30,29.7,77.0,0.6
2019-07-31,30.6,80.0,2.4
2019-08-01,30.5,86.0,15.4
2019-08-02,31.0,84.0,14.5
2019-08-03,30.5,87.0,20.9
2019-08-04,31.0,84.0,6.4
2019-08-05,30.6,86.0,4.5
2019-08-06,30.6,90.0,22.0
2019-08-07,29.5,92.0,20.3
2019-08-08,30.4,86.0,9.2
2019-08-09,30.5,77.0,2.9
2019-08-10,30.5,82.0,2.9
2019-08-11,28.8,91.0,26.7
2019-08-12,29.5,91.0,23.8
2019-08-13,29.9,91.0,25.8
2019-08-14,30.1,86.0,4.9
2019-08-15,31.2,76.0,0.6
2019-08-16,32.0,76.0,0.1
2019-08-17,31.2,84.0,10.5
2019-08-18,28.2,91.0,27.4
2019-08-19,26.0,95.0,56.3
2019-08-20,30.5,87.0,4.0
2019-08-21,30.5,87.0,25.3
2019-08-22,31.1,87.0,14.2
2019-08-23,29.1,91.0,11.7
2019-08-24,29.0,92.0,31.0
2019-08-25,28.3,91.0,13.7
2019-08-26,28.5,90.0,10.8
2019-08-27,30.5,86.0,2.4
2019-08-28,30.9,88.0,21.1
2019-08-29,30.3,87.0,4.4
2019-08-30,30.6,87.0,4.1
2019-08-31,30.7,86.0,5.7
2019-09-01,30.5,85.0,7.2
2019-09-02,30.4,89.0,7.2
2019-09-03,29.4,91.0,18.6
2019-09-04,29.0,92.0,11.6
2019-09-05,30.5,85.0,14.6
2019-09-06,30.5,85.0,2.0
2019-09-07,28.2,91.0,12.0
2019-09-08,30.6,88.0,10.9
2019-09-09,30.8,81.0,1.7
2019-09-10,29.0,85.0,14.9
2019-09-11,30.4,86.0,18.5
2019-09-12,27.5,93.0,17.2
2019-09-13,29.5,84.0,5.6
2019-09-14,30.8,80.0,2.0
2019-09-15,30.9,81.0,1.9
2019-09-16,31.0,82.0,4.0
2019-09-17,30.6,86.0,4.6
2019-09-18,30.6,85.0,5.4
2019-09-19,29.4,90.0,15.5
2019-09-20,30.8,86.0,4.6
2019-09-21,30.5,85.0,1.3
2019-09-22,30.1,88.0,5.1
2019-09-23,30.0,88.0,7.9
2019-09-24,29.0,90.0,8.4
2019-09-25,26.6,90.0,10.3
2019-09-26,25.1,92.0,15.8
2019-09-27,25.0,91.0,22.1
2019-09-28,24.1,91.0,58.0
2019-09-29,24.2,90.0,13.9
2019-09-30,27.6,88.0,5.3
2019-10-01,27.8,90.0,2.5
2019-10-02,30.2,85.0,5.2
2019-10-03,27.9,87.0,4.7
2019-10-04,26.8,91.0,3.0
2019-10-05,27.1,91.0,4.4
2019-10-06,28.4,90.0,3.0
2019-10-07,29.0,84.0,0.0
2019-10-08,28.9,82.0,0.2
2019-10-09,28.2,88.0,0.2
2019-10-10,28.5,85.0,0.3
2019-10-11,28.2,88.0,0.4
2019-10-12,28.8,78.0,0.0
2019-10-13,28.8,78.0,0.0
2019-10-14,28.5,77.0,0.0
2019-10-15,28.8,75.0,0.0
2019-10-16,28.0,79.0,0.6
2019-10-17,29.4,75.0,0.0
2019-10-18,29.0,85.0,5.5
2019-10-19,27.0,92.0,17.3
2019-10-20,26.2,94.0,17.7
2019-10-21,26.9,88.0,4.5
2019-10-22,27.8,82.0,0.2
2019-10-23,27.4,81.0,0.0
2019-10-24,23.5,92.0,4.2
2019-10-25,22.9,90.0,1.7
2019-10-26,24.6,88.0,0.1
2019-10-27,27.4,85.0,0.0
2019-10-28,26.8,84.0,0.0
2019-10-29,27.0,85.0,0.3
2019-10-30,27.9,82.0,0.0
2019-10-31,27.3,83.0,0.0
2019-11-01,27.7,85.0,0.0
2019-11-02,28.9,79.0,0.0
2019-11-03,28.9,75.0,0.0
2019-11-04,27.6,83.0,0.8
2019-11-05,26.8,81.0,0.2
2019-11-06,26.6,73.0,0.0
2019-11-07,26.3,75.0,0.0
2019-11-08,25.6,79.0,0.0
2019-11-09,25.8,85.0,0.0
2019-11-10,26.9,85.0,0.3
2019-11-11,26.6,75.0,0.0
2019-11-12,27.0,74.0,0.0
2019-11-13,26.9,77.0,0.0
2019-11-14,26.5,79.0,0.0
2019-11-15,26.5,77.0,0.0
2019-11-16,27.0,73.0,0.0
2019-11-17,27.0,76.0,0.0
2019-11-18,26.5,73.0,0.0
2019-11-19,25.9,71.0,0.0
2019-11-20,26.0,73.0,0.0
2019-11-21,25.9,78.0,0.0
2019-11-22,25.9,79.0,0.0
2019-11-23,25.6,78.0,0.0
2019-11-24,26.7,77.0,0.0
2019-11-25,26.9,77.0,0.0
2019-11-26,27.8,80.0,0.0
2019-11-27,27.6,77.0,0.0
2019-11-28,27.8,77.0,0.0
2019-11-29,27.5,76.0,0.0
2019-11-30,26.6,78.0,0.0
2019-12-01,26.2,74.0,0.0
2019-12-02,25.8,72.0,0.0
2019-12-03,23.5,78.0,0.1
2019-12-04,23.0,69.0,0.0
2019-12-05,22.1,73.0,0.0
2019-12-06,23.5,78.0,0.0
2019-12-07,23.9,80.0,0.0
2019-12-08,24.5,81.0,0.0
2019-12-09,23.9,78.0,0.0
2019-12-10,23.9,76.0,0.0
2019-12-11,24.1,77.0,0.0
2019-12-12,25.1,74.0,0.0
2019-12-13,21.2,80.0,2.2
2019-12-14,23.9,84.0,1.4
