date,temp_max,humidity,rainfall
2019-01-01,24.2,64.0,0.0
2019-01-02,25.6,61.0,0.0
2019-01-03,26.2,58.0,0.0
2019-01-04,26.0,59.0,0.0
2019-01-05,25.9,64.0,0.0
2019-01-06,26.4,61.0,0.0
2019-01-07,26.9,61.0,0.0
2019-01-08,24.9,60.0,0.0
2019-01-09,25.3,57.0,0.0
2019-01-10,25.8,58.0,0.0
2019-01-11,25.9,59.0,0.0
2019-01-12,26.1,62.0,0.0
2019-01-13,27.0,64.0,0.0
2019-01-14,27.3,57.0,0.0
2019-01-15,26.0,63.0,0.0
2019-01-16,26.2,56.0,0.0
2019-01-17,27.3,49.0,0.0
2019-01-18,27.5,48.0,0.0
2019-01-19,27.5,51.0,0.0
2019-01-20,28.2,45.0,0.0
2019-01-21,28.8,41.0,0.0
2019-01-22,28.7,54.0,0.0
2019-01-23,28.8,49.0,0.0
2019-01-24,28.2,48.0,0.0
2019-01-25,28.0,57.0,0.3
2019-01-26,28.1,63.0,0.0
2019-01-27,20.5,87.0,4.4
2019-01-28,19.6,91.0,10.8
2019-01-29,23.0,72.0,0.0
2019-01-30,23.7,63.0,0.0
2019-01-31,25.5,63.0,0.0
2019-02-01,26.1,64.0,0.0
2019-02-02,27.1,57.0,0.0
2019-02-03,28.0,50.0,0.0
2019-02-04,28.3,49.0,0.0
2019-02-05,28.3,48.0,0.0
2019-02-06,29.0,47.0,0.0
2019-02-07,30.5,47.0,0.0
2019-02-08,28.2,54.0,0.2
2019-02-09,28.7,60.0,0.5
2019-02-10,29.4,44.0,0.0
2019-02-11,29.2,48.0,0.0
2019-02-12,30.4,38.0,0.0
2019-02-13,31.7,34.0,0.0
2019-02-14,32.2,43.0,0.0
2019-02-15,31.8,42.0,0.0
2019-02-16,29.2,55.0,1.2
2019-02-17,29.5,66.0,0.4
2019-02-18,30.5,58.0,0.0
2019-02-19,33.0,40.0,0.0
2019-02-20,33.3,52.0,0.0
2019-02-21,34.1,45.0,0.0
2019-02-22,34.6,46.0,0.0
2019-02-23,34.5,42.0,0.0
2019-02-24,34.7,38.0,0.0
2019-02-25,32.9,37.0,0.0
2019-02-26,31.2,44.0,0.0
2019-02-27,30.4,57.0,0.0
2019-02-28,29.1,61.0,0.5
2019-03-01,32.5,45.0,0.0
2019-03-02,31.0,61.0,0.1
2019-03-03,32.0,64.0,0.3
2019-03-04,32.5,63.0,0.1
2019-03-05,31.8,59.0,0.2
2019-03-06,33.5,40.0,0.0
2019-03-07,32.5,40.0,0.0
2019-03-08,32.7,34.0,0.0
2019-03-09,33.3,44.0,0.0
2019-03-10,33.2,57.0,0.0
2019-03-11,34.7,47.0,0.0
2019-03-12,32.8,48.0,0.0
2019-03-13,34.7,41.0,0.0
2019-03-14,35.6,35.0,0.0
2019-03-15,35.2,32.0,0.0
2019-03-16,35.3,32.0,0.0
2019-03-17,35.2,38.0,0.0
2019-03-18,34.0,39.0,0.0
2019-03-19,34.5,39.0,0.0
2019-03-20,33.8,46.0,0.1
2019-03-21,33.5,50.0,0.0
2019-03-22,34.4,45.0,0.0
2019-03-23,35.3,42.0,0.0
2019-03-24,36.2,35.0,0.0
2019-03-25,36.2,31.0,0.0
2019-03-26,35.8,40.0,0.0
2019-03-27,35.5,40.0,0.0
2019-03-28,36.9,36.0,0.0
2019-03-29,36.7,29.0,0.0
2019-03-30,37.6,38.0,0.0
2019-03-31,37.1,40.0,0.1
2019-04-01,36.9,36.0,0.5
2019-04-02,36.2,34.0,0.0
2019-04-03,37.1,39.0,0.0
2019-04-04,37.4,38.0,0.5
2019-04-05,35.5,45.0,0.0
2019-04-06,36.2,42.0,0.0
2019-04-07,37.2,39.0,0.0
2019-04-08,33.6,51.0,2.1
2019-04-09,35.8,50.0,0.0
2019-04-10,36.5,53.0,0.4
2019-04-11,37.3,51.0,0.0
2019-04-12,37.2,45.0,0.1
2019-04-13,38.2,35.0,0.0
2019-04-14,37.9,35.0,0.0
2019-04-15,36.8,40.0,0.7
2019-04-16,37.6,31.0,0.0
2019-04-17,36.8,31.0,0.0
2019-04-18,36.5,36.0,0.0
2019-04-19,36.3,44.0,0.3
2019-04-20,34.8,53.0,0.7
2019-04-21,34.1,60.0,1.0
2019-04-22,37.0,45.0,0.0
2019-04-23,37.0,37.0,0.0
2019-04-24,38.1,39.0,0.0
2019-04-25,39.0,36.0,0.0
2019-04-26,39.6,39.0,0.0
2019-04-27,39.2,39.0,0.0
2019-04-28,38.4,44.0,0.0
2019-04-29,38.2,41.0,0.0
2019-04-30,38.0,47.0,0.2
2019-05-01,37.6,42.0,0.0
2019-05-02,36.5,52.0,0.0
2019-05-03,35.7,46.0,0.0
2019-05-04,39.7,23.0,0.0
2019-05-05,39.8,23.0,0.0
2019-05-06,39.2,28.0,0.0
2019-05-07,38.5,35.0,0.0
2019-05-08,38.5,34.0,0.0
2019-05-09,40.5,28.0,0.0
2019-05-10,39.7,30.0,0.0
2019-05-11,38.0,47.0,1.9
2019-05-12,36.0,49.0,3.1
2019-05-13,38.0,49.0,0.0
2019-05-14,37.2,51.0,1.7
2019-05-15,37.7,53.0,3.8
2019-05-16,37.7,48.0,0.1
2019-05-17,37.2,46.0,0.0
2019-05-18,39.2,40.0,0.0
2019-05-19,39.0,34.0,0.0
2019-05-20,37.7,38.0,0.5
2019-05-21,38.2,52.0,0.6
2019-05-22,38.2,44.0,0.0
2019-05-23,36.8,49.0,1.1
2019-05-24,38.1,47.0,0.0
2019-05-25,39.2,44.0,0.0
2019-05-26,38.2,43.0,0.0
2019-05-27,38.7,46.0,0.1
2019-05-28,38.6,51.0,3.4
2019-05-29,37.0,59.0,0.7
2019-05-30,36.7,60.0,0.2
2019-05-31,37.0,57.0,0.7
2019-06-01,36.4,56.0,0.2
2019-06-02,36.2,56.0,2.2
2019-06-03,36.2,62.0,0.0
2019-06-04,36.2,61.0,0.1
2019-06-05,37.8,57.0,7.3
2019-06-06,37.0,60.0,0.6
2019-06-07,36.2,64.0,0.7
2019-06-08,33.5,65.0,1.9
2019-06-09,35.6,63.0,14.0
2019-06-10,37.9,56.0,0.0
2019-06-11,37.2,55.0,0.0
2019-06-12,38.3,45.0,0.0
2019-06-13,37.0,43.0,0.0
2019-06-14,36.0,46.0,0.0
2019-06-15,38.7,42.0,0.0
2019-06-16,35.6,58.0,5.3
2019-06-17,32.0,83.0,13.1
2019-06-18,33.6,76.0,5.7
2019-06-19,35.3,60.0,0.4
2019-06-20,34.2,67.0,9.2
