date,temp_max,humidity,rainfall
2019-01-01,23.9,67.0,0.0
2019-01-02,25.2,70.0,0.0
2019-01-03,26.1,70.0,0.0
2019-01-04,25.8,69.0,0.0
2019-01-05,26.0,67.0,0.0
2019-01-06,27.4,65.0,0.0
2019-01-07,26.5,67.0,0.0
2019-01-08,23.0,57.0,0.0
2019-01-09,24.5,65.0,0.0
2019-01-10,24.9,66.0,0.0
2019-01-11,26.0,62.0,0.0
2019-01-12,27.2,62.0,0.0
2019-01-13,28.0,63.0,0.0
2019-01-14,27.1,73.0,0.0
2019-01-15,25.0,58.0,0.0
2019-01-16,25.5,54.0,0.0
2019-01-17,26.9,56.0,0.0
2019-01-18,27.1,58.0,0.0
2019-01-19,27.0,54.0,0.0
2019-01-20,28.7,57.0,0.0
2019-01-21,30.0,48.0,0.0
2019-01-22,30.1,52.0,0.0
2019-01-23,29.1,61.0,0.0
2019-01-24,28.4,61.0,0.0
2019-01-25,24.2,74.0,1.9
2019-01-26,20.1,88.0,15.9
2019-01-27,21.2,85.0,3.9
2019-01-28,21.6,80.0,0.0
2019-01-29,21.8,62.0,0.0
2019-01-30,22.5,63.0,0.0
2019-01-31,25.7,58.0,0.0
2019-02-01,26.9,58.0,0.0
2019-02-02,28.2,61.0,0.0
2019-02-03,29.1,54.0,0.0
2019-02-04,29.4,49.0,0.0
2019-02-05,29.5,53.0,0.0
2019-02-06,30.9,50.0,0.0
2019-02-07,32.5,53.0,0.0
2019-02-08,25.9,76.0,9.6
2019-02-09,24.9,58.0,0.0
2019-02-10,25.0,51.0,0.0
2019-02-11,27.4,55.0,0.0
2019-02-12,29.6,51.0,0.0
2019-02-13,30.8,57.0,0.0
2019-02-14,31.8,52.0,0.0
2019-02-15,31.2,54.0,0.4
2019-02-16,28.7,75.0,11.8
2019-02-17,28.0,73.0,0.2
2019-02-18,28.7,57.0,0.0
2019-02-19,32.2,53.0,0.0
2019-02-20,32.9,55.0,0.0
2019-02-21,34.5,54.0,0.0
2019-02-22,34.7,53.0,0.0
2019-02-23,34.2,54.0,0.0
2019-02-24,35.2,55.0,0.0
2019-02-25,34.0,49.0,0.1
2019-02-26,31.5,45.0,0.0
2019-02-27,32.0,46.0,0.0
2019-02-28,29.0,47.0,0.0
2019-03-01,29.5,47.0,0.0
2019-03-02,32.0,53.0,0.0
2019-03-03,33.2,59.0,0.0
2019-03-04,34.3,57.0,0.1
2019-03-05,34.0,48.0,0.0
2019-03-06,30.7,48.0,0.0
2019-03-07,31.0,37.0,0.0
2019-03-08,32.2,41.0,0.0
2019-03-09,35.0,43.0,0.0
2019-03-10,35.0,48.0,0.0
2019-03-11,35.1,53.0,0.0
2019-03-12,34.2,49.0,0.0
2019-03-13,35.1,46.0,0.0
2019-03-14,35.5,45.0,0.0
2019-03-15,35.0,45.0,0.0
2019-03-16,35.8,50.0,0.0
2019-03-17,36.7,42.0,0.0
2019-03-18,33.2,54.0,0.0
2019-03-19,34.8,50.0,0.0
2019-03-20,34.6,54.0,6.7
2019-03-21,34.0,63.0,5.0
2019-03-22,34.7,52.0,0.0
2019-03-23,35.1,43.0,0.0
2019-03-24,35.2,36.0,0.0
2019-03-25,36.9,33.0,0.0
2019-03-26,37.8,35.0,0.0
2019-03-27,36.1,36.0,0.0
2019-03-28,36.8,37.0,0.0
2019-03-29,37.7,35.0,0.0
2019-03-30,39.8,34.0,0.0
2019-03-31,40.0,28.0,0.0
2019-04-01,39.3,29.0,0.0
2019-04-02,38.2,36.0,0.0
2019-04-03,39.0,35.0,0.0
2019-04-04,38.3,34.0,0.0
2019-04-05,38.3,36.0,0.0
2019-04-06,39.3,30.0,0.0
2019-04-07,39.2,32.0,0.0
2019-04-08,38.7,36.0,0.0
2019-04-09,37.0,42.0,3.1
2019-04-10,39.3,40.0,0.0
2019-04-11,39.5,39.0,0.2
2019-04-12,39.0,34.0,0.0
2019-04-13,39.7,36.0,0.0
2019-04-14,40.5,31.0,0.0
2019-04-15,37.9,34.0,0.5
2019-04-16,36.7,37.0,0.0
2019-04-17,35.9,41.0,0.0
2019-04-18,36.5,43.0,0.0
2019-04-19,36.9,40.0,0.1
2019-04-20,36.5,44.0,0.0
2019-04-21,35.9,48.0,0.4
2019-04-22,38.0,41.0,0.0
2019-04-23,37.8,39.0,0.1
2019-04-24,40.1,34.0,0.0
2019-04-25,41.2,31.0,0.0
2019-04-26,41.5,32.0,0.0
2019-04-27,41.7,30.0,0.0
2019-04-28,42.0,29.0,0.0
2019-04-29,41.5,34.0,0.0
2019-04-30,41.5,34.0,0.0
2019-05-01,40.3,33.0,0.0
2019-05-02,39.5,43.0,0.0
2019-05-03,39.3,44.0,0.0
2019-05-04,40.8,32.0,0.0
2019-05-05,38.5,38.0,0.0
2019-05-06,40.5,33.0,0.0
2019-05-07,41.2,30.0,0.0
2019-05-08,42.3,25.0,0.0
2019-05-09,42.8,18.0,0.0
2019-05-10,42.7,20.0,0.0
2019-05-11,40.5,26.0,0.0
2019-05-12,41.6,32.0,0.0
2019-05-13,40.7,32.0,0.0
2019-05-14,39.8,33.0,0.0
2019-05-15,39.8,35.0,0.0
2019-05-16,41.2,36.0,0.0
2019-05-17,41.8,28.0,0.0
2019-05-18,41.9,27.0,0.0
2019-05-19,41.0,24.0,0.0
2019-05-20,41.3,30.0,0.0
2019-05-21,41.5,34.0,0.0
2019-05-22,41.2,35.0,0.0
2019-05-23,41.8,34.0,0.0
2019-05-24,42.2,33.0,0.0
2019-05-25,42.6,27.0,0.0
2019-05-26,42.2,27.0,0.0
2019-05-27,42.7,32.0,0.0
2019-05-28,42.4,34.0,0.0
2019-05-29,41.2,41.0,0.0
2019-05-30,41.2,40.0,0.0
2019-05-31,39.3,44.0,0.2
2019-06-01,39.7,41.0,0.0
2019-06-02,42.2,36.0,0.0
2019-06-03,41.3,44.0,0.0
2019-06-04,41.2,44.0,0.0
2019-06-05,42.3,38.0,0.0
2019-06-06,42.2,40.0,0.0
2019-06-07,39.2,47.0,0.2
2019-06-08,38.7,49.0,0.0
2019-06-09,39.7,43.0,0.0
2019-06-10,41.3,35.0,0.0
2019-06-11,41.4,40.0,0.0
2019-06-12,42.1,34.0,0.0
2019-06-13,40.7,38.0,0.0
2019-06-14,40.0,38.0,0.4
2019-06-15,40.2,39.0,0.0
2019-06-16,37.8,57.0,1.7
2019-06-17,36.0,64.0,8.3
2019-06-18,37.1,57.0,2.4
2019-06-19,39.5,52.0,0.0
2019-06-20,38.0,58.0,7.4
2019-06-21,34.5,68.0,1.2
2019-06-22,30.0,83.0,19.1
2019-06-23,29.0,89.0,61.9
2019-06-24,34.2,70.0,0.7
2019-06-25,35.2,64.0,0.0
2019-06-26,36.0,59.0,0.1
2019-06-27,36.5,63.0,2.1
2019-06-28,34.7,69.0,5.0
2019-06-29,32.9,76.0,7.7
