District,Date,Avg_Temp_C,Max_Temp_C,Min_Temp_C,Humidity_%,Rainfall_mm,WindSpeed_mps,SolarRadiation_kWh_m2_day
Durg,2015-01-01,18.2,22.19,15.32,89.52,2.89,2.75,1.6706
Durg,2015-01-02,19.89,27.27,14.03,80.63,1.39,1.0,1.7762
Durg,2015-01-03,19.89,26.22,14.65,85.79,4.53,1.38,2.8178
Durg,2015-01-04,19.79,24.72,15.01,83.3,4.17,1.84,3.6168
Durg,2015-01-05,16.46,24.08,9.8,63.49,0.0,1.46,4.8247
Durg,2015-01-06,15.33,23.96,6.99,56.79,0.0,1.02,5.0218
Durg,2015-01-07,17.82,25.39,11.13,48.41,0.0,0.63,5.0419
Durg,2015-01-08,16.71,24.17,10.85,55.83,0.0,1.04,4.6063
Durg,2015-01-09,14.69,22.85,7.0,59.3,0.0,1.4,4.6409
Durg,2015-01-10,15.35,23.82,6.43,55.38,0.0,1.05,4.993
Durg,2015-01-11,14.06,23.15,6.28,55.09,0.0,1.49,4.9572
Durg,2015-01-12,14.97,24.13,7.34,52.35,0.0,1.12,4.9553
Durg,2015-01-13,14.51,24.01,6.21,56.8,0.0,1.12,4.4304
Durg,2015-01-14,15.72,25.05,8.18,57.64,0.0,1.09,4.811
Durg,2015-01-15,15.69,24.87,8.44,64.1,0.0,1.48,4.848
Durg,2015-01-16,15.89,24.44,8.57,57.42,0.0,1.26,4.5223
Durg,2015-01-17,15.52,23.88,7.95,60.48,0.0,1.5,4.8444
Durg,2015-01-18,14.37,23.45,6.44,57.74,0.0,1.3,5.0402
Durg,2015-01-19,14.35,23.63,6.77,57.59,0.0,1.62,5.1742
Durg,2015-01-20,14.7,24.29,7.16,58.81,0.0,1.63,4.9349
Durg,2015-01-21,15.84,25.44,8.29,61.97,0.0,1.79,4.3918
Durg,2015-01-22,17.56,26.42,9.6,56.74,0.0,1.27,4.4995
Durg,2015-01-23,18.54,26.26,11.81,58.12,0.05,1.21,4.0078
Durg,2015-01-24,18.7,26.35,12.02,67.61,0.05,1.49,3.9773
Durg,2015-01-25,19.8,28.04,13.21,67.24,0.0,1.38,4.0651
Durg,2015-01-26,20.8,28.66,13.88,64.22,0.0,1.37,4.1338
Durg,2015-01-27,20.67,28.26,14.39,61.05,0.0,0.87,4.3956
Durg,2015-01-28,19.95,27.8,13.29,64.99,0.03,1.17,4.097
Durg,2015-01-29,20.44,28.05,13.28,64.2,0.15,0.96,3.4709
Durg,2015-01-30,18.82,25.82,12.93,63.11,0.0,1.57,4.8389
Durg,2015-01-31,16.14,25.81,7.65,44.07,0.0,1.35,5.5692
Durg,2015-02-01,16.83,26.6,8.61,44.18,0.0,1.22,5.5802
Durg,2015-02-02,17.77,27.86,9.45,48.39,0.0,1.76,5.449
Durg,2015-02-03,19.28,29.58,10.4,50.31,0.0,1.19,5.4487
Durg,2015-02-04,20.57,29.81,13.18,46.89,0.0,1.25,5.129
Durg,2015-02-05,20.15,28.48,12.4,55.52,0.0,1.49,4.3843
Durg,2015-02-06,20.04,27.93,13.23,56.64,0.0,1.39,4.385
Durg,2015-02-07,20.62,28.66,14.23,52.34,0.0,1.41,4.8521
Durg,2015-02-08,21.24,29.95,14.39,51.04,0.0,1.62,4.7477
Durg,2015-02-09,19.81,26.48,14.19,59.43,0.23,1.63,3.6509
Durg,2015-02-10,20.97,28.33,15.42,60.93,0.28,1.59,4.2427
Durg,2015-02-11,21.38,29.1,14.6,60.94,0.98,1.3,3.7202
Durg,2015-02-12,21.63,29.08,15.3,60.31,0.66,1.28,3.2328
Durg,2015-02-13,21.8,30.44,15.39,50.91,0.01,1.67,5.5951
Durg,2015-02-14,20.76,30.68,11.41,40.7,0.0,1.17,5.8884
Durg,2015-02-15,23.2,32.8,15.29,36.5,0.0,1.75,6.0295
Durg,2015-02-16,22.13,31.47,12.69,40.89,0.0,1.45,5.8409
Durg,2015-02-17,23.74,32.74,14.41,35.86,0.0,1.07,6.1054
Durg,2015-02-18,24.38,33.47,16.56,34.79,0.0,1.53,5.9402
Durg,2015-02-19,23.14,32.0,13.87,38.65,0.0,1.38,5.8685
Durg,2015-02-20,23.64,32.22,15.49,39.22,0.0,1.5,5.7372
Durg,2015-02-21,25.1,32.78,18.91,36.16,0.9,0.76,5.7756
Durg,2015-02-22,25.1,34.3,15.26,35.27,0.0,1.41,6.1128
Durg,2015-02-23,24.61,33.59,15.74,34.75,0.0,1.05,6.2059
Durg,2015-02-24,25.52,34.35,16.75,31.27,0.0,1.01,6.3463
Durg,2015-02-25,26.2,35.13,18.47,29.88,0.0,0.83,6.3502
Durg,2015-02-26,26.17,35.32,17.66,32.23,0.0,2.13,5.9064
Durg,2015-02-27,25.87,34.3,16.56,32.39,0.0,1.59,5.5603
Durg,2015-02-28,26.12,34.82,18.52,36.44,0.1,1.33,5.4163
Durg,2015-03-01,25.72,33.3,18.94,46.61,3.42,2.08,2.5632
Durg,2015-03-02,22.23,26.51,18.92,72.1,15.94,2.86,1.9862
Durg,2015-03-03,23.27,29.83,17.91,65.38,2.02,1.84,5.2111
Durg,2015-03-04,21.5,29.8,14.26,48.13,0.0,2.46,6.5597
Durg,2015-03-05,21.73,30.69,12.58,46.25,0.0,1.45,6.6583
Durg,2015-03-06,22.87,31.37,13.47,45.8,0.0,1.38,6.4562
Durg,2015-03-07,23.61,32.31,14.75,44.37,0.0,1.25,6.5282
Durg,2015-03-08,25.08,33.72,16.85,42.3,0.0,1.27,6.3898
Durg,2015-03-09,25.89,33.42,17.93,45.41,0.51,1.42,3.8518
Durg,2015-03-10,26.48,33.87,18.21,44.43,0.0,1.31,5.9354
Durg,2015-03-11,26.17,34.24,17.64,44.09,0.0,1.81,6.3149
Durg,2015-03-12,26.83,35.01,17.83,39.14,0.19,1.24,5.9266
Durg,2015-03-13,27.58,35.23,19.09,37.93,0.0,0.88,5.8927
Durg,2015-03-14,27.6,35.18,19.58,40.46,0.09,0.95,5.8702
Durg,2015-03-15,28.03,35.86,21.06,39.27,0.09,1.32,5.0122
Durg,2015-03-16,26.91,34.42,19.54,41.87,0.84,2.12,4.7381
Durg,2015-03-17,27.17,33.58,21.16,49.53,0.82,1.36,5.8985
Durg,2015-03-18,27.43,34.98,19.68,45.16,0.0,1.62,6.2143
Durg,2015-03-19,26.92,35.8,18.14,38.4,0.0,1.72,7.0716
Durg,2015-03-20,26.9,35.67,17.62,32.63,0.0,1.64,7.128
Durg,2015-03-21,27.75,36.7,17.92,28.63,0.0,1.57,7.235
Durg,2015-03-22,28.81,38.06,18.63,29.59,0.0,1.37,7.0361
Durg,2015-03-23,29.81,38.63,20.67,31.09,0.0,1.06,7.0385
Durg,2015-03-24,29.86,38.45,21.03,31.38,0.0,1.44,7.1527
Durg,2015-03-25,29.48,38.17,19.71,27.9,0.0,1.41,7.1822
Durg,2015-03-26,31.0,38.95,21.83,24.14,0.0,0.74,6.8597
Durg,2015-03-27,30.43,38.76,21.53,31.16,1.12,1.57,6.4116
