date,temp_max,humidity,rainfall
2019-01-01,24.5,67.0,0.0
2019-01-02,25.8,69.0,0.0
2019-01-03,26.5,68.0,0.0
2019-01-04,26.5,64.0,0.0
2019-01-05,26.5,66.0,0.0
2019-01-06,27.9,65.0,0.0
2019-01-07,26.2,68.0,0.0
2019-01-08,23.4,57.0,0.0
2019-01-09,25.1,61.0,0.0
2019-01-10,25.6,61.0,0.0
2019-01-11,26.5,61.0,0.0
2019-01-12,27.6,62.0,0.0
2019-01-13,29.0,59.0,0.0
2019-01-14,27.7,68.0,0.0
2019-01-15,25.4,52.0,0.0
2019-01-16,26.1,49.0,0.0
2019-01-17,27.4,48.0,0.0
2019-01-18,27.5,52.0,0.0
2019-01-19,28.1,48.0,0.0
2019-01-20,29.2,47.0,0.0
2019-01-21,30.6,42.0,0.0
2019-01-22,31.5,41.0,0.0
2019-01-23,31.2,52.0,0.0
2019-01-24,29.0,53.0,0.0
2019-01-25,27.0,60.0,0.0
2019-01-26,22.2,80.0,8.5
2019-01-27,20.6,88.0,8.8
2019-01-28,21.5,81.0,0.4
2019-01-29,22.0,64.0,0.0
2019-01-30,23.6,58.0,0.0
2019-01-31,26.9,52.0,0.0
2019-02-01,28.1,54.0,0.0
2019-02-02,29.2,53.0,0.0
2019-02-03,29.8,48.0,0.0
2019-02-04,30.1,45.0,0.0
2019-02-05,30.0,47.0,0.0
2019-02-06,31.6,45.0,0.0
2019-02-07,33.3,46.0,0.0
2019-02-08,24.9,70.0,4.6
2019-02-09,25.5,61.0,0.0
2019-02-10,26.7,47.0,0.0
2019-02-11,28.5,51.0,0.0
2019-02-12,30.7,46.0,0.0
2019-02-13,31.8,49.0,0.0
2019-02-14,33.2,44.0,0.0
2019-02-15,32.6,43.0,0.0
2019-02-16,28.9,69.0,4.9
2019-02-17,28.5,72.0,0.0
2019-02-18,28.9,58.0,0.0
2019-02-19,33.5,47.0,0.0
2019-02-20,33.8,48.0,0.0
2019-02-21,35.6,48.0,0.0
2019-02-22,35.0,49.0,0.0
2019-02-23,34.5,54.0,0.0
2019-02-24,35.7,52.0,0.0
2019-02-25,34.8,46.0,0.2
2019-02-26,32.4,44.0,0.0
2019-02-27,32.8,44.0,0.0
2019-02-28,29.5,44.0,0.0
2019-03-01,30.7,45.0,0.0
2019-03-02,32.7,50.0,0.0
2019-03-03,33.0,59.0,1.4
2019-03-04,34.5,55.0,0.1
2019-03-05,34.0,49.0,0.4
2019-03-06,31.8,46.0,0.0
2019-03-07,31.5,38.0,0.0
2019-03-08,32.8,35.0,0.0
2019-03-09,35.2,35.0,0.0
2019-03-10,35.1,46.0,0.0
2019-03-11,35.0,49.0,0.0
2019-03-12,34.6,45.0,0.0
2019-03-13,35.8,42.0,0.0
2019-03-14,35.7,43.0,0.0
2019-03-15,35.4,45.0,0.2
2019-03-16,36.1,45.0,0.0
2019-03-17,37.5,41.0,0.2
2019-03-18,33.9,53.0,0.6
2019-03-19,34.3,48.0,0.0
2019-03-20,35.2,49.0,0.3
2019-03-21,35.0,58.0,3.6
2019-03-22,35.3,48.0,0.0
2019-03-23,36.1,41.0,0.0
2019-03-24,36.2,30.0,0.0
2019-03-25,37.4,27.0,0.0
2019-03-26,38.0,29.0,0.0
2019-03-27,36.8,35.0,0.0
2019-03-28,37.5,33.0,0.0
2019-03-29,38.2,27.0,0.0
2019-03-30,40.0,26.0,0.0
2019-03-31,40.1,24.0,0.0
2019-04-01,39.5,25.0,0.0
2019-04-02,39.2,28.0,0.0
2019-04-03,39.2,30.0,0.0
2019-04-04,39.0,29.0,0.0
2019-04-05,38.0,33.0,1.2
2019-04-06,39.2,30.0,0.0
2019-04-07,39.5,30.0,0.0
2019-04-08,38.5,36.0,0.0
2019-04-09,36.2,39.0,0.4
2019-04-10,39.4,36.0,0.0
2019-04-11,40.3,36.0,0.0
2019-04-12,38.8,32.0,0.0
2019-04-13,40.0,30.0,0.0
2019-04-14,40.8,28.0,0.0
2019-04-15,38.5,30.0,0.2
2019-04-16,35.0,37.0,0.5
2019-04-17,37.3,39.0,0.0
2019-04-18,36.7,41.0,0.0
2019-04-19,37.2,39.0,0.0
2019-04-20,36.4,44.0,0.0
2019-04-21,35.8,45.0,3.0
2019-04-22,37.7,40.0,0.0
2019-04-23,37.2,37.0,0.0
2019-04-24,40.2,29.0,0.0
2019-04-25,40.8,27.0,0.0
2019-04-26,41.3,27.0,0.0
2019-04-27,41.5,29.0,0.0
2019-04-28,42.0,26.0,0.0
2019-04-29,41.8,31.0,0.0
2019-04-30,39.9,32.0,0.0
2019-05-01,40.2,32.0,0.0
2019-05-02,39.0,45.0,0.0
2019-05-03,38.3,44.0,0.0
2019-05-04,41.0,31.0,0.0
2019-05-05,38.8,35.0,0.0
2019-05-06,40.1,27.0,0.0
2019-05-07,41.5,23.0,0.0
2019-05-08,42.5,22.0,0.0
2019-05-09,42.7,17.0,0.0
2019-05-10,42.7,19.0,0.0
2019-05-11,41.3,24.0,0.0
2019-05-12,41.0,32.0,0.0
2019-05-13,40.7,32.0,0.0
2019-05-14,38.0,38.0,0.0
2019-05-15,39.5,35.0,0.1
2019-05-16,41.2,36.0,0.0
2019-05-17,41.2,29.0,0.0
2019-05-18,41.5,30.0,0.0
2019-05-19,40.6,25.0,0.0
2019-05-20,41.3,26.0,0.0
2019-05-21,41.4,35.0,0.0
2019-05-22,41.1,37.0,0.0
2019-05-23,42.0,35.0,0.0
2019-05-24,41.1,32.0,0.0
2019-05-25,42.3,26.0,0.0
2019-05-26,41.7,26.0,0.0
2019-05-27,42.5,30.0,0.0
2019-05-28,40.6,35.0,0.0
2019-05-29,40.2,43.0,0.0
2019-05-30,40.8,38.0,0.0
2019-05-31,39.2,43.0,0.5
2019-06-01,39.2,41.0,0.0
2019-06-02,41.3,39.0,0.0
2019-06-03,41.5,45.0,0.0
2019-06-04,41.2,44.0,0.0
2019-06-05,42.2,40.0,0.0
2019-06-06,42.5,40.0,0.1
2019-06-07,40.8,47.0,0.0
2019-06-08,38.9,50.0,1.0
2019-06-09,38.8,45.0,0.3
2019-06-10,40.9,37.0,0.0
2019-06-11,40.9,39.0,0.0
2019-06-12,42.0,36.0,0.1
2019-06-13,40.5,38.0,0.0
2019-06-14,39.6,39.0,1.2
2019-06-15,39.8,40.0,0.1
2019-06-16,35.9,58.0,2.6
2019-06-17,36.0,70.0,20.0
2019-06-18,37.5,59.0,0.2
2019-06-19,38.8,55.0,0.0
