date,temp_max,humidity,rainfall
2019-01-01,23.7,58.0,0.0
2019-01-02,24.6,65.0,0.0
2019-01-03,25.7,58.0,0.0
2019-01-04,24.8,53.0,0.0
2019-01-05,25.0,66.0,0.0
2019-01-06,26.0,66.0,0.0
2019-01-07,25.8,65.0,0.0
2019-01-08,23.6,62.0,0.0
2019-01-09,24.0,65.0,0.0
2019-01-10,24.2,54.0,0.0
2019-01-11,25.0,60.0,0.0
2019-01-12,26.1,63.0,0.0
2019-01-13,27.6,64.0,0.0
2019-01-14,26.1,59.0,0.4
2019-01-15,24.4,46.0,0.0
2019-01-16,24.4,46.0,0.0
2019-01-17,26.3,49.0,0.0
2019-01-18,26.4,42.0,0.0
2019-01-19,27.0,47.0,0.0
2019-01-20,28.2,47.0,0.0
2019-01-21,29.0,52.0,0.0
2019-01-22,28.2,52.0,0.0
2019-01-23,28.8,58.0,0.0
2019-01-24,28.3,57.0,0.0
2019-01-25,26.1,62.0,1.5
2019-01-26,19.9,79.0,7.4
2019-01-27,23.5,75.0,0.1
2019-01-28,23.5,66.0,0.0
2019-01-29,22.5,45.0,0.0
2019-01-30,23.1,47.0,0.0
2019-01-31,24.9,54.0,0.0
2019-02-01,26.6,57.0,0.0
2019-02-02,28.9,53.0,0.0
2019-02-03,29.0,50.0,0.0
2019-02-04,29.9,48.0,0.0
2019-02-05,30.8,48.0,0.0
2019-02-06,31.0,46.0,0.0
2019-02-07,31.0,48.0,0.0
2019-02-08,25.3,73.0,6.7
2019-02-09,25.8,53.0,0.2
2019-02-10,25.5,43.0,0.0
2019-02-11,27.0,45.0,0.0
2019-02-12,29.5,47.0,0.0
2019-02-13,31.6,44.0,0.0
2019-02-14,32.3,46.0,0.0
2019-02-15,31.5,49.0,2.0
2019-02-16,26.7,78.0,4.3
2019-02-17,27.6,60.0,0.0
2019-02-18,28.0,53.0,0.0
2019-02-19,31.4,55.0,0.0
2019-02-20,33.2,53.0,0.0
2019-02-21,34.1,49.0,0.0
2019-02-22,35.5,51.0,0.0
2019-02-23,34.0,49.0,0.0
2019-02-24,33.7,49.0,0.4
2019-02-25,30.9,59.0,0.4
2019-02-26,31.4,53.0,0.0
2019-02-27,31.0,54.0,0.0
2019-02-28,28.5,43.0,0.0
2019-03-01,28.5,42.0,0.0
2019-03-02,30.4,51.0,0.0
2019-03-03,31.9,62.0,0.1
2019-03-04,31.9,61.0,1.4
2019-03-05,30.8,52.0,0.3
