date,temp_max,humidity,rainfall
2019-01-01,22.1,57.0,0.0
2019-01-02,22.0,52.0,0.0
2019-01-03,22.8,42.0,0.0
2019-01-04,22.5,48.0,0.0
2019-01-05,22.5,57.0,0.0
2019-01-06,22.6,57.0,0.0
2019-01-07,23.1,55.0,0.2
2019-01-08,21.2,59.0,0.0
2019-01-09,21.5,59.0,0.0
2019-01-10,21.9,48.0,0.0
2019-01-11,21.5,57.0,0.0
2019-01-12,22.7,56.0,0.0
2019-01-13,25.5,51.0,0.0
2019-01-14,23.8,55.0,0.1
2019-01-15,22.5,42.0,0.0
2019-01-16,22.1,36.0,0.0
2019-01-17,24.4,38.0,0.0
2019-01-18,24.1,37.0,0.0
2019-01-19,25.1,35.0,0.0
2019-01-20,26.4,35.0,0.0
2019-01-21,26.3,36.0,0.0
2019-01-22,25.5,44.0,0.0
2019-01-23,25.7,54.0,0.0
2019-01-24,25.7,62.0,0.0
2019-01-25,23.6,64.0,0.5
2019-01-26,15.9,86.0,12.4
2019-01-27,20.2,79.0,2.9
2019-01-28,19.1,82.0,7.2
2019-01-29,19.4,49.0,0.0
2019-01-30,20.7,48.0,0.0
2019-01-31,21.2,49.0,0.0
2019-02-01,23.0,51.0,0.0
2019-02-02,25.1,48.0,0.0
2019-02-03,24.8,48.0,0.0
2019-02-04,25.8,50.0,0.0
2019-02-05,26.6,47.0,0.0
2019-02-06,27.6,52.0,0.0
2019-02-07,26.9,44.0,0.0
2019-02-08,21.0,70.0,11.1
2019-02-09,21.3,65.0,1.7
2019-02-10,21.6,48.0,0.0
2019-02-11,22.8,56.0,0.0
2019-02-12,25.4,55.0,0.0
2019-02-13,27.7,51.0,0.0
2019-02-14,28.6,46.0,0.0
2019-02-15,28.5,59.0,2.0
2019-02-16,23.0,79.0,8.6
2019-02-17,23.9,55.0,0.0
2019-02-18,25.0,51.0,0.0
2019-02-19,27.6,47.0,0.0
2019-02-20,29.8,47.0,0.0
2019-02-21,30.5,47.0,0.0
2019-02-22,32.5,45.0,0.0
2019-02-23,29.9,52.0,0.0
2019-02-24,28.8,54.0,0.2
2019-02-25,26.1,66.0,6.1
2019-02-26,26.5,68.0,1.6
2019-02-27,26.0,68.0,2.1
2019-02-28,23.5,53.0,0.0
2019-03-01,24.8,49.0,0.0
2019-03-02,25.5,53.0,0.0
2019-03-03,26.9,60.0,0.3
2019-03-04,25.8,70.0,2.3
2019-03-05,25.5,68.0,3.3
2019-03-06,26.0,54.0,0.2
2019-03-07,26.5,40.0,0.0
2019-03-08,27.1,35.0,0.0
2019-03-09,29.0,34.0,0.0
2019-03-10,31.2,36.0,0.0
2019-03-11,31.5,41.0,0.0
2019-03-12,31.4,42.0,0.0
2019-03-13,32.2,40.0,0.0
2019-03-14,30.1,59.0,3.1
2019-03-15,29.6,73.0,7.5
2019-03-16,28.3,71.0,2.6
2019-03-17,28.2,69.0,5.8
2019-03-18,25.0,75.0,6.7
2019-03-19,28.5,58.0,0.0
2019-03-20,30.6,37.0,0.0
2019-03-21,29.7,54.0,0.0
2019-03-22,30.5,53.0,0.4
2019-03-23,31.0,31.0,0.0
2019-03-24,31.5,29.0,0.0
2019-03-25,32.6,33.0,0.0
2019-03-26,31.4,39.0,0.4
2019-03-27,32.0,44.0,0.0
2019-03-28,33.2,29.0,0.0
2019-03-29,33.5,34.0,0.0
2019-03-30,35.5,32.0,0.0
2019-03-31,36.3,23.0,0.0
2019-04-01,35.0,30.0,0.0
2019-04-02,34.5,22.0,0.0
2019-04-03,35.3,21.0,0.0
2019-04-04,35.4,26.0,0.0
2019-04-05,36.3,29.0,0.0
2019-04-06,34.3,38.0,0.3
2019-04-07,32.9,51.0,0.0
2019-04-08,31.5,58.0,0.6
2019-04-09,32.3,49.0,0.9
2019-04-10,33.5,43.0,0.4
2019-04-11,35.5,37.0,0.0
2019-04-12,35.7,37.0,0.0
2019-04-13,34.5,34.0,0.1
2019-04-14,36.6,29.0,0.0
2019-04-15,36.8,27.0,0.0
2019-04-16,33.9,32.0,0.1
2019-04-17,29.0,55.0,2.7
2019-04-18,30.4,56.0,0.6
2019-04-19,30.2,61.0,1.3
2019-04-20,29.9,55.0,0.0
2019-04-21,29.5,56.0,1.9
2019-04-22,32.2,48.0,0.0
2019-04-23,33.8,39.0,0.0
2019-04-24,33.7,47.0,0.2
2019-04-25,37.0,38.0,0.0
2019-04-26,37.3,37.0,0.0
2019-04-27,38.2,28.0,0.0
2019-04-28,38.4,19.0,0.0
2019-04-29,38.5,27.0,0.0
2019-04-30,37.2,42.0,0.0
2019-05-01,35.1,48.0,0.0
2019-05-02,33.0,61.0,0.0
2019-05-03,28.2,73.0,1.7
2019-05-04,34.7,49.0,0.0
2019-05-05,34.2,41.0,0.0
2019-05-06,36.3,21.0,0.0
2019-05-07,38.2,15.0,0.0
2019-05-08,39.0,17.0,0.0
2019-05-09,39.5,15.0,0.0
2019-05-10,39.5,13.0,0.0
2019-05-11,38.7,18.0,0.0
2019-05-12,38.0,22.0,0.0
2019-05-13,37.6,26.0,0.0
2019-05-14,36.6,29.0,0.0
2019-05-15,37.3,31.0,0.0
2019-05-16,37.2,26.0,0.0
2019-05-17,38.0,30.0,0.0
2019-05-18,38.2,25.0,0.0
2019-05-19,36.7,26.0,0.0
2019-05-20,37.5,28.0,0.0
2019-05-21,39.2,27.0,0.0
2019-05-22,38.3,31.0,0.0
2019-05-23,38.0,43.0,2.9
2019-05-24,38.5,40.0,0.0
2019-05-25,38.5,32.0,0.1
2019-05-26,38.7,29.0,0.0
2019-05-27,39.5,26.0,0.0
2019-05-28,37.2,40.0,0.0
2019-05-29,37.7,38.0,0.0
2019-05-30,39.3,28.0,0.0
2019-05-31,37.9,34.0,0.0
2019-06-01,35.8,51.0,1.3
2019-06-02,35.9,50.0,0.1
2019-06-03,35.2,71.0,14.1
2019-06-04,35.1,58.0,0.1
2019-06-05,39.0,48.0,0.0
2019-06-06,36.2,59.0,0.2
2019-06-07,38.0,62.0,0.0
2019-06-08,38.0,52.0,0.0
2019-06-09,39.3,44.0,0.0
2019-06-10,40.5,36.0,0.0
2019-06-11,41.0,34.0,0.0
2019-06-12,39.8,34.0,0.3
2019-06-13,38.0,54.0,7.2
2019-06-14,35.8,57.0,3.0
2019-06-15,38.0,53.0,0.8
2019-06-16,36.0,59.0,2.5
2019-06-17,35.5,58.0,1.7
2019-06-18,35.0,60.0,4.9
2019-06-19,35.3,61.0,15.6
2019-06-20,35.7,66.0,14.8
2019-06-21,31.0,88.0,28.2
2019-06-22,25.4,95.0,34.3
2019-06-23,27.8,90.0,8.9
2019-06-24,29.4,82.0,2.8
2019-06-25,30.6,77.0,0.2
2019-06-26,31.5,78.0,1.2
2019-06-27,29.8,80.0,2.8
2019-06-28,30.4,85.0,9.0
2019-06-29,30.5,83.0,0.7
2019-06-30,30.2,86.0,3.3
2019-07-01,30.0,87.0,20.5
2019-07-02,27.6,92.0,45.3
2019-07-03,26.8,93.0,14.7
2019-07-04,26.9,92.0,8.9
2019-07-05,28.5,93.0,11.9
2019-07-06,27.0,94.0,31.4
2019-07-07,26.5,93.0,35.3
2019-07-08,25.5,96.0,12.4
2019-07-09,26.0,96.0,9.7
2019-07-10,27.4,94.0,9.2
2019-07-11,27.1,92.0,5.9
2019-07-12,27.9,92.0,5.4
2019-07-13,30.0,82.0,0.7
2019-07-14,30.9,77.0,0.1
2019-07-15,30.3,76.0,2.3
2019-07-16,30.5,76.0,0.5
2019-07-17,29.3,81.0,3.5
2019-07-18,30.4,82.0,7.8
2019-07-19,30.8,84.0,5.5
2019-07-20,29.2,84.0,1.3
2019-07-21,29.0,88.0,2.9
2019-07-22,28.8,89.0,6.6
2019-07-23,29.1,88.0,3.3
2019-07-24,27.0,94.0,6.5
2019-07-25,27.1,93.0,11.1
2019-07-26,27.1,91.0,15.1
2019-07-27,25.5,93.0,20.6
2019-07-28,26.9,93.0,20.3
2019-07-29,26.4,94.0,24.1
2019-07-30,23.0,97.0,16.2
2019-07-31,25.0,95.0,15.3
2019-08-01,27.0,94.0,20.8
2019-08-02,27.9,89.0,9.7
2019-08-03,26.9,94.0,9.1
2019-08-04,28.0,92.0,7.3
2019-08-05,28.7,91.0,10.2
2019-08-06,29.5,88.0,15.1
2019-08-07,28.2,88.0,5.7
2019-08-08,24.8,96.0,29.0
2019-08-09,26.5,91.0,7.8
2019-08-10,27.7,90.0,12.6
2019-08-11,27.5,88.0,15.9
2019-08-12,29.5,86.0,11.3
2019-08-13,28.0,91.0,19.5
2019-08-14,24.8,96.0,19.9
2019-08-15,27.6,88.0,5.4
2019-08-16,29.0,85.0,2.5
2019-08-17,28.3,88.0,11.8
2019-08-18,26.6,91.0,28.5
2019-08-19,25.5,95.0,15.1
2019-08-20,27.5,94.0,5.8
2019-08-21,27.4,94.0,8.2
2019-08-22,28.9,91.0,9.2
2019-08-23,27.2,91.0,10.7
2019-08-24,26.1,92.0,15.9
2019-08-25,25.9,94.0,15.7
2019-08-26,24.5,96.0,19.7
2019-08-27,26.5,92.0,4.9
2019-08-28,27.8,92.0,10.8
2019-08-29,27.8,91.0,13.7
2019-08-30,28.5,88.0,6.1
2019-08-31,28.5,90.0,7.9
2019-09-01,28.8,85.0,3.5
2019-09-02,28.2,88.0,14.0
2019-09-03,27.1,90.0,9.6
2019-09-04,27.9,91.0,10.7
2019-09-05,27.2,90.0,6.2
2019-09-06,27.9,89.0,6.9
2019-09-07,26.1,94.0,25.7
2019-09-08,25.4,97.0,20.3
2019-09-09,27.0,92.0,7.4
2019-09-10,25.6,96.0,11.8
2019-09-11,26.2,93.0,6.3
2019-09-12,23.6,98.0,17.5
2019-09-13,25.1,95.0,11.1
2019-09-14,26.6,92.0,6.8
2019-09-15,27.9,90.0,4.4
2019-09-16,28.1,91.0,4.7
2019-09-17,27.4,91.0,8.1
2019-09-18,27.5,89.0,3.8
2019-09-19,27.0,90.0,3.1
2019-09-20,27.2,88.0,4.7
2019-09-21,28.3,86.0,3.5
2019-09-22,27.3,88.0,4.4
2019-09-23,27.1,92.0,9.5
2019-09-24,25.8,93.0,12.1
2019-09-25,22.8,98.0,42.3
2019-09-26,23.6,97.0,19.7
2019-09-27,22.4,96.0,13.2
