date,temp_max,humidity,rainfall
2019-01-01,22.6,57.0,0.0
2019-01-02,24.0,60.0,0.0
2019-01-03,24.2,56.0,0.0
2019-01-04,23.4,53.0,0.0
2019-01-05,23.5,59.0,0.0
2019-01-06,24.0,64.0,0.0
2019-01-07,25.8,54.0,0.0
2019-01-08,22.0,62.0,0.0
2019-01-09,22.1,61.0,0.0
2019-01-10,22.5,57.0,0.0
2019-01-11,23.4,61.0,0.0
2019-01-12,24.5,61.0,0.0
2019-01-13,25.4,70.0,0.1
2019-01-14,25.8,61.0,1.0
2019-01-15,23.3,46.0,0.0
2019-01-16,23.1,51.0,0.0
2019-01-17,25.0,52.0,0.0
2019-01-18,25.0,43.0,0.0
2019-01-19,25.0,46.0,0.0
2019-01-20,26.8,49.0,0.0
2019-01-21,27.6,45.0,0.0
2019-01-22,26.8,58.0,0.0
2019-01-23,26.8,66.0,0.0
2019-01-24,25.6,75.0,6.0
2019-01-25,23.0,78.0,7.1
2019-01-26,20.5,85.0,10.0
2019-01-27,21.7,78.0,0.9
2019-01-28,22.9,57.0,0.0
2019-01-29,21.5,38.0,0.0
2019-01-30,20.8,48.0,0.0
2019-01-31,23.0,49.0,0.0
2019-02-01,24.5,52.0,0.0
2019-02-02,26.5,56.0,0.0
2019-02-03,26.9,53.0,0.0
2019-02-04,27.2,49.0,0.0
2019-02-05,28.0,51.0,0.0
2019-02-06,29.0,47.0,0.0
2019-02-07,28.5,53.0,0.0
2019-02-08,24.8,79.0,7.9
2019-02-09,23.4,40.0,1.1
2019-02-10,22.8,43.0,0.0
2019-02-11,25.0,48.0,0.0
2019-02-12,27.0,49.0,0.0
2019-02-13,29.2,54.0,0.0
2019-02-14,30.5,48.0,0.0
2019-02-15,28.0,60.0,6.3
2019-02-16,24.9,81.0,2.2
2019-02-17,27.5,48.0,0.0
2019-02-18,28.8,49.0,0.0
2019-02-19,30.0,53.0,0.0
2019-02-20,30.2,54.0,0.0
2019-02-21,31.4,55.0,0.0
2019-02-22,34.0,51.0,0.3
2019-02-23,32.7,50.0,0.1
2019-02-24,33.0,54.0,0.0
2019-02-25,31.5,51.0,0.0
2019-02-26,28.5,45.0,0.0
2019-02-27,29.8,39.0,0.0
2019-02-28,28.0,46.0,0.0
2019-03-01,26.6,44.0,0.0
2019-03-02,28.7,45.0,0.0
2019-03-03,29.8,62.0,0.1
2019-03-04,32.2,60.0,0.5
2019-03-05,31.6,49.0,0.1
2019-03-06,30.1,43.0,0.0
2019-03-07,29.0,39.0,0.0
2019-03-08,30.0,38.0,0.0
2019-03-09,33.5,36.0,0.0
2019-03-10,34.8,30.0,0.0
2019-03-11,33.3,38.0,0.0
2019-03-12,35.5,46.0,0.0
2019-03-13,34.5,45.0,0.4
2019-03-14,31.6,56.0,0.2
2019-03-15,30.3,61.0,0.5
2019-03-16,32.0,61.0,4.7
2019-03-17,29.2,62.0,4.8
2019-03-18,28.1,72.0,6.3
2019-03-19,30.0,67.0,0.6
2019-03-20,29.4,64.0,5.3
2019-03-21,30.8,73.0,2.1
2019-03-22,34.5,46.0,0.0
2019-03-23,34.0,33.0,0.0
2019-03-24,35.0,33.0,0.0
2019-03-25,34.5,34.0,0.0
2019-03-26,35.5,31.0,0.0
2019-03-27,35.7,36.0,0.0
2019-03-28,35.8,29.0,0.0
2019-03-29,37.7,30.0,0.0
2019-03-30,39.7,25.0,0.0
2019-03-31,40.2,21.0,0.0
2019-04-01,39.0,21.0,0.0
2019-04-02,36.5,21.0,0.0
2019-04-03,37.5,25.0,0.0
2019-04-04,39.5,27.0,0.0
2019-04-05,37.9,27.0,0.0
2019-04-06,39.0,25.0,0.0
2019-04-07,38.6,24.0,0.0
2019-04-08,38.2,24.0,0.0
2019-04-09,37.6,31.0,0.0
2019-04-10,40.3,29.0,0.0
2019-04-11,37.7,27.0,0.0
2019-04-12,38.7,28.0,0.0
2019-04-13,37.8,27.0,0.0
2019-04-14,40.1,22.0,0.0
2019-04-15,40.5,25.0,0.0
2019-04-16,33.2,36.0,0.5
2019-04-17,32.8,50.0,0.6
2019-04-18,33.8,49.0,0.5
2019-04-19,33.6,52.0,2.0
2019-04-20,33.2,58.0,0.6
2019-04-21,35.5,42.0,0.0
2019-04-22,37.5,31.0,0.0
2019-04-23,39.3,23.0,0.0
2019-04-24,40.4,21.0,0.0
2019-04-25,39.5,26.0,0.0
2019-04-26,41.0,22.0,0.0
2019-04-27,41.5,21.0,0.0
2019-04-28,42.5,18.0,0.0
2019-04-29,42.4,20.0,0.0
2019-04-30,42.2,23.0,0.0
2019-05-01,39.8,31.0,0.0
2019-05-02,38.3,39.0,0.0
2019-05-03,38.0,44.0,0.0
2019-05-04,36.0,46.0,0.0
2019-05-05,38.8,32.0,0.0
2019-05-06,40.3,21.0,0.0
2019-05-07,42.5,17.0,0.0
2019-05-08,42.2,15.0,0.0
2019-05-09,42.0,14.0,0.0
2019-05-10,42.5,14.0,0.0
2019-05-11,39.5,25.0,0.1
2019-05-12,41.8,21.0,0.0
2019-05-13,39.8,21.0,0.0
2019-05-14,39.7,23.0,0.0
2019-05-15,39.5,24.0,0.0
2019-05-16,40.8,27.0,0.0
2019-05-17,41.8,20.0,0.0
2019-05-18,40.5,21.0,0.0
2019-05-19,40.0,23.0,0.0
2019-05-20,41.5,23.0,0.0
2019-05-21,41.8,21.0,0.0
2019-05-22,41.8,28.0,0.0
2019-05-23,42.9,24.0,0.0
2019-05-24,42.5,25.0,0.0
2019-05-25,42.8,20.0,0.0
2019-05-26,41.8,24.0,0.0
2019-05-27,41.5,22.0,0.0
2019-05-28,40.7,30.0,0.0
2019-05-29,40.4,40.0,0.1
2019-05-30,41.0,34.0,0.0
2019-05-31,41.0,34.0,0.1
2019-06-01,38.6,40.0,0.5
2019-06-02,42.3,35.0,0.0
2019-06-03,42.0,40.0,0.0
2019-06-04,42.7,37.0,0.0
2019-06-05,43.2,29.0,0.0
2019-06-06,42.5,30.0,0.0
2019-06-07,40.2,44.0,0.0
2019-06-08,38.5,50.0,0.1
2019-06-09,40.8,34.0,0.0
2019-06-10,41.9,32.0,0.0
2019-06-11,43.2,30.0,0.0
2019-06-12,42.0,34.0,0.1
2019-06-13,40.3,42.0,0.5
2019-06-14,38.8,47.0,0.2
2019-06-15,38.5,49.0,0.8
2019-06-16,35.0,59.0,2.0
2019-06-17,37.2,55.0,3.8
2019-06-18,36.7,53.0,6.2
2019-06-19,35.8,59.0,0.9
2019-06-20,36.8,53.0,0.2
2019-06-21,37.9,52.0,0.0
2019-06-22,30.5,82.0,11.1
2019-06-23,30.9,84.0,16.0
2019-06-24,32.8,76.0,6.2
2019-06-25,36.4,60.0,0.3
2019-06-26,37.1,57.0,2.2
2019-06-27,34.5,67.0,11.3
2019-06-28,32.4,71.0,4.7
2019-06-29,32.7,72.0,5.6
2019-06-30,32.3,80.0,10.3
2019-07-01,32.8,81.0,13.8
2019-07-02,29.4,88.0,48.0
2019-07-03,31.0,82.0,13.2
2019-07-04,28.9,85.0,6.3
2019-07-05,30.0,82.0,7.4
2019-07-06,29.5,85.0,12.1
2019-07-07,28.6,82.0,4.3
2019-07-08,29.3,85.0,10.4
2019-07-09,30.0,82.0,1.7
2019-07-10,30.6,77.0,2.1
2019-07-11,30.0,78.0,1.2
2019-07-12,32.4,72.0,0.9
2019-07-13,33.1,69.0,0.1
2019-07-14,33.0,64.0,0.3
2019-07-15,32.3,70.0,0.6
2019-07-16,34.8,64.0,0.2
2019-07-17,35.0,61.0,0.2
2019-07-18,33.2,72.0,4.7
2019-07-19,32.9,82.0,19.1
2019-07-20,31.6,85.0,7.0
2019-07-21,31.8,81.0,9.9
2019-07-22,32.2,79.0,10.8
2019-07-23,32.8,80.0,2.2
2019-07-24,32.6,78.0,2.4
2019-07-25,33.0,85.0,14.6
2019-07-26,29.4,85.0,24.2
2019-07-27,30.9,82.0,5.9
2019-07-28,30.4,85.0,20.6
2019-07-29,27.9,91.0,47.5
2019-07-30,29.0,88.0,12.4
2019-07-31,28.2,82.0,5.5
2019-08-01,29.1,83.0,1.0
2019-08-02,29.5,88.0,22.9
2019-08-03,28.4,88.0,20.9
2019-08-04,30.5,81.0,5.9
2019-08-05,30.6,83.0,5.8
2019-08-06,31.5,81.0,7.0
2019-08-07,30.1,83.0,29.6
2019-08-08,25.8,91.0,50.6
2019-08-09,29.1,82.0,2.4
2019-08-10,31.1,80.0,0.5
2019-08-11,31.9,78.0,2.2
2019-08-12,30.0,79.0,5.7
2019-08-13,29.3,85.0,21.9
2019-08-14,26.1,92.0,54.4
2019-08-15,30.4,81.0,4.2
2019-08-16,32.0,75.0,0.3
2019-08-17,32.5,73.0,1.4
2019-08-18,29.9,81.0,7.5
2019-08-19,29.6,84.0,3.9
2019-08-20,29.5,84.0,7.5
2019-08-21,28.9,83.0,3.5
2019-08-22,30.2,83.0,11.3
2019-08-23,30.6,87.0,11.2
2019-08-24,28.7,89.0,12.2
2019-08-25,27.7,90.0,12.9
2019-08-26,28.0,91.0,9.4
2019-08-27,29.3,85.0,4.0
2019-08-28,29.8,83.0,6.1
2019-08-29,29.2,86.0,11.9
2019-08-30,31.2,86.0,12.0
2019-08-31,30.0,89.0,13.6
2019-09-01,29.5,89.0,3.9
2019-09-02,29.5,89.0,16.9
2019-09-03,31.8,86.0,15.9
2019-09-04,29.4,88.0,20.7
2019-09-05,30.7,86.0,9.0
2019-09-06,30.4,88.0,12.6
2019-09-07,30.0,86.0,20.9
2019-09-08,27.5,90.0,92.4
2019-09-09,28.1,87.0,3.4
2019-09-10,29.2,86.0,3.3
2019-09-11,28.6,89.0,17.6
2019-09-12,28.8,88.0,54.0
2019-09-13,30.1,82.0,9.1
2019-09-14,30.0,83.0,0.5
2019-09-15,29.8,89.0,6.1
2019-09-16,29.1,88.0,9.9
2019-09-17,28.5,91.0,12.1
2019-09-18,29.8,87.0,5.3
2019-09-19,29.0,91.0,12.7
2019-09-20,28.1,89.0,7.7
2019-09-21,30.2,87.0,4.7
2019-09-22,30.4,84.0,7.8
2019-09-23,29.8,86.0,11.3
2019-09-24,27.2,92.0,16.3
2019-09-25,24.1,96.0,91.7
2019-09-26,26.2,94.0,35.9
2019-09-27,27.5,91.0,9.7
2019-09-28,26.7,90.0,11.0
2019-09-29,26.6,90.0,12.5
2019-09-30,29.4,84.0,5.4
2019-10-01,29.9,80.0,0.2
2019-10-02,29.9,80.0,0.9
2019-10-03,30.7,75.0,0.1
2019-10-04,30.0,74.0,0.3
2019-10-05,30.5,71.0,0.0
2019-10-06,29.0,78.0,5.4
2019-10-07,30.1,76.0,0.5
2019-10-08,29.5,75.0,0.1
2019-10-09,28.9,83.0,0.3
2019-10-10,29.7,73.0,0.2
2019-10-11,29.9,69.0,0.0
2019-10-12,29.6,72.0,0.0
2019-10-13,29.6,73.0,0.0
2019-10-14,30.4,67.0,0.0
2019-10-15,29.9,63.0,0.0
2019-10-16,29.8,67.0,0.0
2019-10-17,29.2,71.0,0.0
2019-10-18,26.0,86.0,9.0
2019-10-19,28.6,82.0,2.1
2019-10-20,27.6,81.0,1.0
2019-10-21,26.9,85.0,8.0
2019-10-22,28.0,82.0,0.6
2019-10-23,27.9,80.0,0.6
2019-10-24,26.6,87.0,1.6
2019-10-25,26.9,83.0,0.0
2019-10-26,26.0,86.0,2.3
2019-10-27,27.4,84.0,2.8
2019-10-28,28.8,79.0,0.4
2019-10-29,29.1,81.0,2.3
2019-10-30,29.0,80.0,0.3
2019-10-31,30.2,76.0,0.0
2019-11-01,30.6,73.0,0.1
2019-11-02,29.2,72.0,0.0
2019-11-03,31.0,63.0,0.0
2019-11-04,29.6,68.0,0.2
2019-11-05,30.8,65.0,0.0
2019-11-06,27.9,70.0,0.1
2019-11-07,28.0,70.0,0.0
2019-11-08,28.4,64.0,0.0
2019-11-09,29.6,58.0,0.0
2019-11-10,29.6,68.0,0.0
2019-11-11,28.8,65.0,0.0
2019-11-12,28.3,61.0,0.0
2019-11-13,28.3,56.0,0.0
2019-11-14,28.0,58.0,0.0
2019-11-15,28.0,61.0,0.0
2019-11-16,28.3,63.0,0.0
2019-11-17,29.6,58.0,0.0
2019-11-18,28.8,56.0,0.0
2019-11-19,28.4,64.0,0.0
2019-11-20,27.6,60.0,0.0
2019-11-21,27.5,65.0,0.0
2019-11-22,28.3,65.0,0.0
2019-11-23,28.7,59.0,0.0
2019-11-24,28.7,61.0,0.0
2019-11-25,28.6,58.0,0.0
2019-11-26,28.6,57.0,0.0
2019-11-27,28.4,66.0,0.0
2019-11-28,28.0,70.0,0.0
2019-11-29,27.9,71.0,0.0
2019-11-30,27.8,68.0,0.0
2019-12-01,27.4,67.0,0.0
2019-12-02,26.5,67.0,0.0
2019-12-03,26.2,70.0,0.0
2019-12-04,26.1,67.0,0.0
2019-12-05,24.9,51.0,0.0
2019-12-06,24.5,56.0,0.0
2019-12-07,24.7,61.0,0.0
2019-12-08,25.3,64.0,0.0
2019-12-09,25.7,68.0,0.0
2019-12-10,25.5,70.0,0.0
2019-12-11,26.0,67.0,0.0
2019-12-12,26.1,64.0,0.0
2019-12-13,24.2,77.0,2.9
2019-12-14,24.9,84.0,2.3
2019-12-15,23.9,84.0,0.9
2019-12-16,23.2,83.0,1.3
2019-12-17,23.3,83.0,0.3
2019-12-18,24.5,78.0,0.0
2019-12-19,25.2,75.0,0.0
2019-12-20,26.0,63.0,0.0
2019-12-21,25.1,61.0,0.0
2019-12-22,25.1,61.0,0.0
2019-12-23,25.2,65.0,0.0
2019-12-24,25.4,69.0,0.0
2019-12-25,26.0,72.0,1.0
2019-12-26,21.0,89.0,8.2
2019-12-27,21.1,51.0,0.0
2019-12-28,19.8,46.0,0.0
2019-12-29,20.6,51.0,0.0
2019-12-30,21.5,56.0,0.0
2019-12-31,20.4,62.0,1.3
2020-01-01,18.6,81.0,9.2
2020-01-02,19.5,85.0,12.9
2020-01-03,22.4,84.0,0.3
2020-01-04,18.9,91.0,9.1
2020-01-05,20.5,72.0,0.0
2020-01-06,21.3,66.0,0.0
2020-01-07,22.6,62.0,0.0
2020-01-08,20.6,82.0,11.1
2020-01-09,24.0,75.0,1.0
2020-01-10,21.1,67.0,0.0
2020-01-11,20.6,72.0,0.0
2020-01-12,22.0,70.0,0.0
2020-01-13,24.5,66.0,0.0
2020-01-14,25.5,62.0,0.0
2020-01-15,25.5,65.0,0.0
2020-01-16,26.1,73.0,0.0
2020-01-17,24.0,76.0,1.1
2020-01-18,23.5,83.0,2.7
2020-01-19,24.0,78.0,2.0
2020-01-20,24.2,73.0,0.0
2020-01-21,24.5,79.0,0.0
2020-01-22,25.7,77.0,0.0
2020-01-23,26.9,70.0,2.6
2020-01-24,25.5,54.0,0.0
2020-01-25,26.0,55.0,0.0
2020-01-26,26.5,52.0,0.0
2020-01-27,26.0,56.0,0.0
2020-01-28,27.0,67.0,0.5
2020-01-29,26.7,59.0,0.8
2020-01-30,25.2,51.0,0.0
2020-01-31,23.5,51.0,0.0
2020-02-01,22.5,57.0,0.0
2020-02-02,23.9,59.0,0.0
2020-02-03,24.7,57.0,0.0
2020-02-04,20.0,81.0,5.7
2020-02-05,24.4,77.0,0.0
2020-02-06,23.1,74.0,0.0
2020-02-07,19.4,88.0,6.6
2020-02-08,22.2,79.0,0.0
2020-02-09,22.5,57.0,0.0
2020-02-10,23.1,55.0,0.0
2020-02-11,24.7,56.0,0.0
2020-02-12,28.1,45.0,0.0
2020-02-13,30.5,45.0,0.0
2020-02-14,30.1,45.0,0.0
2020-02-15,30.4,43.0,0.0
2020-02-16,29.0,37.0,0.0
2020-02-17,30.8,30.0,0.0
2020-02-18,31.1,28.0,0.0
2020-02-19,29.4,35.0,0.0
2020-02-20,30.1,41.0,0.0
2020-02-21,30.2,51.0,0.0
2020-02-22,28.9,62.0,0.0
2020-02-23,29.1,65.0,0.6
2020-02-24,24.4,84.0,13.2
2020-02-25,26.0,70.0,0.5
2020-02-26,27.6,47.0,0.0
2020-02-27,27.5,51.0,0.0
2020-02-28,27.5,51.0,0.0
2020-02-29,29.8,52.0,0.0
2020-03-01,30.2,50.0,0.0
2020-03-02,29.6,59.0,0.3
2020-03-03,29.6,62.0,2.4
2020-03-04,29.2,65.0,0.0
2020-03-05,28.5,69.0,0.7
2020-03-06,26.0,81.0,2.6
2020-03-07,28.5,76.0,4.2
2020-03-08,30.0,59.0,0.0
2020-03-09,29.4,55.0,0.0
2020-03-10,26.3,64.0,1.0
2020-03-11,29.1,71.0,1.4
2020-03-12,28.4,79.0,16.4
2020-03-13,27.1,83.0,22.7
