date,temp_max,humidity,rainfall
2019-01-01,23.6,48.0,0.0
2019-01-02,25.2,46.0,0.0
2019-01-03,25.0,43.0,0.0
2019-01-04,24.5,46.0,0.0
2019-01-05,24.8,44.0,0.0
2019-01-06,25.0,52.0,0.0
2019-01-07,24.4,53.0,0.1
2019-01-08,23.0,63.0,0.0
2019-01-09,22.9,55.0,0.0
2019-01-10,22.7,52.0,0.0
2019-01-11,23.6,50.0,0.0
2019-01-12,24.7,52.0,0.0
2019-01-13,25.0,57.0,0.0
2019-01-14,24.4,54.0,0.1
2019-01-15,23.5,42.0,0.0
2019-01-16,23.8,38.0,0.0
2019-01-17,25.7,38.0,0.0
2019-01-18,25.4,38.0,0.0
2019-01-19,26.5,40.0,0.0
2019-01-20,28.4,41.0,0.0
2019-01-21,28.2,39.0,0.0
2019-01-22,27.4,47.0,0.0
2019-01-23,26.6,53.0,0.1
2019-01-24,24.2,65.0,2.1
2019-01-25,19.2,82.0,4.7
2019-01-26,18.5,86.0,4.1
2019-01-27,19.9,81.0,0.7
2019-01-28,20.9,59.0,0.3
2019-01-29,20.1,46.0,0.0
2019-01-30,21.8,51.0,0.0
2019-01-31,23.4,41.0,0.0
2019-02-01,25.1,44.0,0.0
2019-02-02,27.0,42.0,0.0
2019-02-03,27.2,45.0,0.0
2019-02-04,29.2,49.0,0.0
2019-02-05,28.9,50.0,0.0
2019-02-06,29.4,48.0,0.0
2019-02-07,28.7,45.0,0.0
2019-02-08,22.1,77.0,8.5
2019-02-09,21.5,49.0,0.5
2019-02-10,23.0,45.0,0.0
2019-02-11,25.0,44.0,0.0
2019-02-12,27.5,46.0,0.0
2019-02-13,29.6,44.0,0.0
2019-02-14,30.8,43.0,0.0
2019-02-15,26.4,58.0,3.3
2019-02-16,24.8,73.0,3.9
2019-02-17,25.0,51.0,0.0
2019-02-18,27.4,51.0,0.0
2019-02-19,29.6,43.0,0.0
2019-02-20,31.8,44.0,0.0
2019-02-21,33.2,45.0,0.0
2019-02-22,34.5,44.0,0.0
2019-02-23,30.8,57.0,0.0
2019-02-24,30.2,55.0,0.6
2019-02-25,28.8,56.0,0.9
2019-02-26,28.5,45.0,0.2
2019-02-27,27.8,45.0,0.0
2019-02-28,25.2,51.0,3.3
2019-03-01,26.8,40.0,0.0
2019-03-02,28.9,37.0,0.0
2019-03-03,27.6,53.0,1.4
2019-03-04,29.8,61.0,4.4
2019-03-05,28.6,58.0,1.7
2019-03-06,27.5,44.0,0.0
2019-03-07,28.3,36.0,0.0
2019-03-08,29.5,34.0,0.0
2019-03-09,31.9,34.0,0.0
2019-03-10,32.3,34.0,0.0
2019-03-11,33.0,38.0,0.0
2019-03-12,34.8,33.0,0.0
2019-03-13,33.5,41.0,0.1
2019-03-14,30.7,66.0,1.4
2019-03-15,28.6,72.0,7.5
2019-03-16,29.9,62.0,0.4
2019-03-17,29.9,59.0,7.8
2019-03-18,27.7,74.0,7.2
2019-03-19,30.2,53.0,0.0
2019-03-20,31.4,37.0,0.0
