date,temp_max,humidity,rainfall
2019-01-01,23.0,64.0,0.0
2019-01-02,24.2,59.0,0.0
2019-01-03,25.4,56.0,0.0
2019-01-04,24.6,50.0,0.0
2019-01-05,25.0,59.0,0.0
2019-01-06,25.9,63.0,0.0
2019-01-07,25.3,61.0,0.0
2019-01-08,23.5,65.0,0.0
2019-01-09,23.4,65.0,0.0
2019-01-10,23.8,53.0,0.0
2019-01-11,24.6,50.0,0.0
2019-01-12,25.9,56.0,0.0
2019-01-13,27.4,60.0,0.0
2019-01-14,25.9,55.0,0.1
2019-01-15,23.7,46.0,0.0
2019-01-16,24.5,41.0,0.0
2019-01-17,26.1,44.0,0.0
2019-01-18,26.0,44.0,0.0
2019-01-19,26.8,42.0,0.0
2019-01-20,28.1,44.0,0.0
2019-01-21,29.0,42.0,0.0
2019-01-22,28.5,47.0,0.0
2019-01-23,29.0,51.0,0.0
2019-01-24,27.5,56.0,0.0
2019-01-25,26.0,61.0,1.1
2019-01-26,20.2,79.0,10.0
2019-01-27,24.0,74.0,0.1
2019-01-28,22.6,63.0,0.0
2019-01-29,21.6,43.0,0.0
2019-01-30,22.9,46.0,0.0
2019-01-31,25.4,45.0,0.0
2019-02-01,27.0,43.0,0.0
2019-02-02,29.4,40.0,0.0
2019-02-03,29.4,41.0,0.0
2019-02-04,30.1,43.0,0.0
2019-02-05,30.7,42.0,0.0
2019-02-06,31.1,44.0,0.0
2019-02-07,31.2,43.0,0.0
2019-02-08,25.7,69.0,1.8
2019-02-09,24.5,53.0,1.2
2019-02-10,25.0,41.0,0.0
2019-02-11,27.0,46.0,0.0
2019-02-12,29.7,47.0,0.0
2019-02-13,31.4,42.0,0.0
2019-02-14,32.6,40.0,0.0
2019-02-15,32.0,47.0,2.0
2019-02-16,27.5,73.0,0.8
2019-02-17,28.3,54.0,0.0
2019-02-18,27.9,48.0,0.0
2019-02-19,31.8,44.0,0.0
2019-02-20,33.8,43.0,0.0
2019-02-21,34.6,42.0,0.0
2019-02-22,35.8,43.0,0.0
2019-02-23,33.0,45.0,0.0
2019-02-24,33.2,46.0,0.0
2019-02-25,31.9,56.0,0.5
2019-02-26,31.5,47.0,0.0
2019-02-27,31.4,51.0,2.7
2019-02-28,27.5,42.0,0.0
2019-03-01,28.8,38.0,0.0
2019-03-02,31.0,46.0,0.0
2019-03-03,32.2,54.0,0.1
2019-03-04,31.8,59.0,1.2
2019-03-05,30.1,52.0,0.5
2019-03-06,29.6,42.0,0.0
2019-03-07,30.2,33.0,0.0
2019-03-08,31.4,31.0,0.0
2019-03-09,34.0,30.0,0.0
2019-03-10,35.1,34.0,0.0
2019-03-11,35.4,34.0,0.0
2019-03-12,34.5,38.0,0.0
2019-03-13,35.3,46.0,0.0
2019-03-14,35.3,49.0,0.2
2019-03-15,33.9,58.0,2.3
2019-03-16,33.5,56.0,0.5
2019-03-17,32.5,56.0,2.2
2019-03-18,29.0,70.0,4.8
2019-03-19,29.0,70.0,1.1
2019-03-20,33.0,55.0,0.0
2019-03-21,33.2,64.0,0.0
2019-03-22,33.3,57.0,1.4
2019-03-23,33.9,37.0,0.0
2019-03-24,34.2,34.0,0.0
2019-03-25,36.0,34.0,0.0
2019-03-26,35.4,35.0,0.0
2019-03-27,34.3,38.0,0.0
2019-03-28,35.8,32.0,0.0
2019-03-29,37.3,31.0,0.0
2019-03-30,39.0,31.0,0.0
2019-03-31,40.3,25.0,0.0
2019-04-01,38.5,26.0,0.0
2019-04-02,38.2,23.0,0.0
2019-04-03,38.2,23.0,0.0
2019-04-04,39.2,25.0,0.0
2019-04-05,39.7,32.0,0.0
2019-04-06,38.7,29.0,0.0
2019-04-07,36.9,32.0,0.0
2019-04-08,37.3,38.0,0.0
2019-04-09,37.3,44.0,0.2
2019-04-10,39.2,38.0,0.0
2019-04-11,38.7,32.0,0.0
2019-04-12,39.5,32.0,0.0
2019-04-13,38.2,33.0,0.0
2019-04-14,40.2,28.0,0.0
2019-04-15,40.4,30.0,0.0
2019-04-16,36.4,35.0,0.0
2019-04-17,34.8,45.0,0.0
2019-04-18,35.0,47.0,0.0
2019-04-19,34.3,58.0,3.5
2019-04-20,34.0,57.0,0.0
2019-04-21,35.7,52.0,0.2
2019-04-22,37.0,43.0,0.0
2019-04-23,38.6,30.0,0.0
2019-04-24,39.8,35.0,0.0
2019-04-25,41.2,32.0,0.0
2019-04-26,41.0,30.0,0.0
2019-04-27,42.3,24.0,0.0
2019-04-28,42.9,20.0,0.0
2019-04-29,42.3,23.0,0.0
2019-04-30,42.2,26.0,0.0
2019-05-01,40.8,34.0,0.0
2019-05-02,37.8,49.0,0.0
2019-05-03,37.1,50.0,0.0
2019-05-04,38.3,45.0,0.0
2019-05-05,37.4,41.0,0.0
2019-05-06,40.2,25.0,0.0
2019-05-07,41.8,19.0,0.0
2019-05-08,43.3,17.0,0.0
2019-05-09,42.9,18.0,0.0
2019-05-10,43.2,15.0,0.0
2019-05-11,41.6,20.0,0.0
2019-05-12,41.7,24.0,0.0
2019-05-13,40.9,25.0,0.0
2019-05-14,40.2,28.0,0.0
2019-05-15,40.8,25.0,0.0
2019-05-16,41.1,30.0,0.0
2019-05-17,42.3,29.0,0.0
2019-05-18,41.4,24.0,0.0
2019-05-19,40.3,25.0,0.0
2019-05-20,40.9,25.0,0.0
2019-05-21,42.4,25.0,0.0
2019-05-22,41.5,34.0,0.0
2019-05-23,42.4,31.0,0.0
2019-05-24,43.2,29.0,0.0
2019-05-25,41.7,27.0,0.0
