date,temp_max,humidity,rainfall
2019-01-01,23.6,64.0,0.0
2019-01-02,24.8,68.0,0.0
2019-01-03,25.6,64.0,0.0
2019-01-04,24.9,64.0,0.0
2019-01-05,24.8,68.0,0.0
2019-01-06,25.2,70.0,0.0
2019-01-07,25.2,65.0,0.0
2019-01-08,22.8,67.0,0.0
2019-01-09,23.4,69.0,0.0
2019-01-10,23.9,64.0,0.0
2019-01-11,24.5,67.0,0.0
2019-01-12,26.0,69.0,0.0
2019-01-13,26.8,70.0,0.0
2019-01-14,26.2,64.0,0.1
2019-01-15,23.5,55.0,0.0
2019-01-16,24.1,57.0,0.0
2019-01-17,25.6,61.0,0.0
2019-01-18,25.7,54.0,0.0
2019-01-19,26.2,54.0,0.0
2019-01-20,28.1,56.0,0.0
2019-01-21,28.6,61.0,0.0
2019-01-22,28.0,61.0,0.0
2019-01-23,27.8,68.0,0.0
2019-01-24,27.0,70.0,4.2
2019-01-25,24.7,76.0,8.5
2019-01-26,21.4,81.0,10.3
2019-01-27,22.5,78.0,0.2
2019-01-28,22.9,63.0,0.0
2019-01-29,21.8,54.0,0.0
2019-01-30,21.9,56.0,0.0
2019-01-31,24.4,64.0,0.0
2019-02-01,26.0,64.0,0.0
2019-02-02,27.9,62.0,0.0
2019-02-03,28.2,59.0,0.0
2019-02-04,28.5,59.0,0.0
2019-02-05,28.9,59.0,0.0
2019-02-06,30.2,53.0,0.0
2019-02-07,29.8,57.0,0.0
2019-02-08,22.4,84.0,5.4
2019-02-09,24.1,58.0,1.6
2019-02-10,23.8,48.0,0.0
2019-02-11,25.9,56.0,0.0
2019-02-12,28.1,58.0,0.0
2019-02-13,29.9,57.0,0.0
2019-02-14,31.1,57.0,0.0
2019-02-15,29.4,62.0,1.5
2019-02-16,26.1,80.0,8.6
2019-02-17,28.5,54.0,0.0
2019-02-18,27.3,57.0,0.0
2019-02-19,30.8,61.0,0.0
2019-02-20,31.8,58.0,0.0
2019-02-21,32.8,58.0,0.0
2019-02-22,34.5,56.0,0.0
2019-02-23,33.2,53.0,0.0
2019-02-24,32.0,60.0,0.2
2019-02-25,31.4,57.0,0.0
2019-02-26,30.1,48.0,0.0
2019-02-27,30.8,47.0,0.0
2019-02-28,28.5,47.0,0.0
2019-03-01,27.6,43.0,0.0
2019-03-02,30.1,49.0,0.0
2019-03-03,31.0,61.0,0.5
2019-03-04,33.0,61.0,0.4
2019-03-05,31.9,52.0,0.2
2019-03-06,29.1,46.0,0.0
2019-03-07,29.8,40.0,0.0
2019-03-08,31.0,39.0,0.0
2019-03-09,33.4,39.0,0.0
2019-03-10,34.2,41.0,0.0
2019-03-11,33.8,43.0,0.0
2019-03-12,34.2,51.0,0.1
2019-03-13,35.0,50.0,0.0
2019-03-14,33.3,55.0,0.3
2019-03-15,31.0,62.0,0.6
2019-03-16,32.3,61.0,0.4
2019-03-17,32.2,60.0,0.5
2019-03-18,29.2,72.0,4.1
2019-03-19,30.4,73.0,0.2
2019-03-20,31.5,61.0,3.7
2019-03-21,33.0,74.0,2.4
2019-03-22,34.9,52.0,0.1
2019-03-23,34.2,40.0,0.0
2019-03-24,34.5,39.0,0.0
2019-03-25,36.0,39.0,0.0
2019-03-26,36.0,42.0,0.0
2019-03-27,35.2,38.0,0.0
2019-03-28,36.0,34.0,0.0
2019-03-29,38.2,37.0,0.0
2019-03-30,39.6,32.0,0.0
2019-03-31,40.5,29.0,0.0
2019-04-01,38.3,29.0,0.0
2019-04-02,37.4,26.0,0.0
2019-04-03,38.4,28.0,0.0
