date,temp_max,humidity,rainfall
2019-01-01,23.6,62.0,0.0
2019-01-02,24.6,67.0,0.0
2019-01-03,25.3,68.0,0.0
2019-01-04,25.0,65.0,0.0
2019-01-05,25.4,67.0,0.0
2019-01-06,26.5,65.0,0.0
2019-01-07,25.4,70.0,0.0
2019-01-08,22.5,63.0,0.0
2019-01-09,23.6,64.0,0.0
2019-01-10,24.0,62.0,0.0
2019-01-11,25.0,61.0,0.0
2019-01-12,26.2,65.0,0.0
2019-01-13,27.2,62.0,0.0
2019-01-14,25.8,70.0,0.0
2019-01-15,23.8,54.0,0.0
2019-01-16,24.4,56.0,0.0
2019-01-17,25.5,52.0,0.0
2019-01-18,25.8,52.0,0.0
2019-01-19,26.2,52.0,0.0
2019-01-20,27.2,50.0,0.0
2019-01-21,28.9,50.0,0.0
2019-01-22,29.0,53.0,0.0
2019-01-23,28.5,61.0,0.0
2019-01-24,27.5,62.0,0.0
2019-01-25,24.4,68.0,1.5
2019-01-26,19.9,89.0,28.3
2019-01-27,20.5,88.0,8.5
2019-01-28,21.5,82.0,0.8
2019-01-29,21.5,53.0,0.0
2019-01-30,22.2,58.0,0.0
2019-01-31,24.8,58.0,0.0
2019-02-01,26.0,56.0,0.0
2019-02-02,27.4,61.0,0.0
2019-02-03,28.2,57.0,0.0
2019-02-04,28.4,55.0,0.0
2019-02-05,28.8,55.0,0.0
2019-02-06,29.6,54.0,0.0
2019-02-07,30.4,52.0,0.0
2019-02-08,24.0,80.0,11.6
2019-02-09,24.9,64.0,0.0
2019-02-10,24.5,53.0,0.0
2019-02-11,26.4,54.0,0.0
2019-02-12,28.5,53.0,0.0
2019-02-13,29.8,56.0,0.0
2019-02-14,30.9,55.0,0.0
2019-02-15,29.9,51.0,0.3
2019-02-16,27.3,78.0,10.8
2019-02-17,26.9,71.0,0.0
2019-02-18,27.1,57.0,0.0
2019-02-19,31.2,53.0,0.0
2019-02-20,31.8,56.0,0.0
2019-02-21,33.2,57.0,0.0
2019-02-22,34.0,59.0,0.0
2019-02-23,32.4,58.0,0.1
2019-02-24,33.2,57.0,0.0
2019-02-25,32.0,54.0,0.0
2019-02-26,31.0,55.0,0.0
2019-02-27,30.2,52.0,0.0
2019-02-28,28.3,49.0,0.0
2019-03-01,28.6,49.0,0.0
2019-03-02,30.4,58.0,0.0
2019-03-03,31.0,60.0,0.1
2019-03-04,32.9,60.0,0.3
2019-03-05,31.9,54.0,0.0
2019-03-06,30.1,51.0,0.0
2019-03-07,30.0,41.0,0.0
2019-03-08,31.2,41.0,0.0
2019-03-09,34.0,38.0,0.0
2019-03-10,34.3,50.0,0.0
2019-03-11,34.0,55.0,0.0
2019-03-12,34.0,54.0,0.2
2019-03-13,34.7,54.0,0.0
2019-03-14,34.3,53.0,0.0
2019-03-15,33.8,57.0,2.4
2019-03-16,33.7,56.0,0.0
2019-03-17,33.7,50.0,0.2
2019-03-18,30.5,64.0,2.3
2019-03-19,32.0,58.0,0.2
2019-03-20,33.5,58.0,1.8
2019-03-21,34.0,63.0,2.1
2019-03-22,34.8,54.0,0.0
2019-03-23,34.6,43.0,0.0
2019-03-24,34.8,31.0,0.0
2019-03-25,36.3,32.0,0.0
2019-03-26,36.8,33.0,0.0
2019-03-27,35.2,41.0,0.0
2019-03-28,36.2,36.0,0.0
2019-03-29,37.5,33.0,0.0
2019-03-30,39.1,32.0,0.0
2019-03-31,39.8,27.0,0.0
2019-04-01,38.2,30.0,0.0
2019-04-02,37.7,31.0,0.0
2019-04-03,38.0,33.0,0.0
2019-04-04,37.7,34.0,0.0
2019-04-05,38.7,34.0,0.0
2019-04-06,38.5,33.0,0.1
2019-04-07,38.5,33.0,0.0
2019-04-08,36.6,36.0,0.0
2019-04-09,36.8,40.0,0.0
2019-04-10,39.5,39.0,1.3
2019-04-11,36.8,39.0,0.1
2019-04-12,37.5,37.0,0.0
2019-04-13,39.5,32.0,0.0
2019-04-14,40.4,30.0,0.0
2019-04-15,38.7,33.0,0.0
2019-04-16,35.6,39.0,0.4
2019-04-17,35.8,42.0,0.0
2019-04-18,35.8,46.0,0.2
2019-04-19,36.2,45.0,0.0
2019-04-20,36.2,45.0,0.0
