date,temp_max,humidity,rainfall
2019-01-01,25.5,48.0,0.0
2019-01-02,27.0,55.0,0.0
2019-01-03,26.9,54.0,0.0
2019-01-04,26.4,61.0,0.0
2019-01-05,27.0,59.0,0.0
2019-01-06,27.0,59.0,0.0
2019-01-07,25.6,68.0,0.0
2019-01-08,24.3,59.0,0.0
2019-01-09,25.5,49.0,0.0
2019-01-10,26.0,54.0,0.0
2019-01-11,26.0,59.0,0.0
2019-01-12,26.8,57.0,0.0
2019-01-13,28.0,60.0,0.0
2019-01-14,26.6,62.0,0.0
2019-01-15,25.8,61.0,0.0
2019-01-16,26.9,50.0,0.0
2019-01-17,27.7,42.0,0.0
2019-01-18,27.3,46.0,0.0
2019-01-19,28.0,47.0,0.0
2019-01-20,28.6,42.0,0.0
2019-01-21,28.6,39.0,0.0
2019-01-22,29.0,52.0,0.0
2019-01-23,29.0,55.0,0.0
2019-01-24,28.6,54.0,0.0
2019-01-25,25.6,64.0,1.1
2019-01-26,25.2,81.0,11.5
2019-01-27,20.0,93.0,18.7
2019-01-28,20.1,85.0,2.7
2019-01-29,21.8,68.0,0.0
2019-01-30,23.9,59.0,0.0
2019-01-31,25.5,60.0,0.0
2019-02-01,26.6,57.0,0.0
2019-02-02,27.1,53.0,0.0
2019-02-03,27.4,51.0,0.0
2019-02-04,27.5,49.0,0.0
2019-02-05,28.3,48.0,0.0
2019-02-06,29.0,49.0,0.0
2019-02-07,29.7,55.0,0.0
2019-02-08,25.7,72.0,4.3
2019-02-09,25.4,62.0,0.0
2019-02-10,27.6,46.0,0.0
2019-02-11,28.8,52.0,0.0
2019-02-12,29.9,46.0,0.0
2019-02-13,30.7,44.0,0.0
2019-02-14,31.6,52.0,0.0
2019-02-15,30.6,49.0,0.0
2019-02-16,28.8,67.0,1.7
2019-02-17,27.8,72.0,1.3
2019-02-18,30.0,54.0,0.0
2019-02-19,32.9,42.0,0.0
2019-02-20,32.2,52.0,0.0
2019-02-21,33.0,48.0,0.0
2019-02-22,33.8,53.0,0.0
2019-02-23,33.5,48.0,0.5
2019-02-24,33.8,42.0,0.0
2019-02-25,32.1,41.0,0.0
2019-02-26,30.7,48.0,0.0
2019-02-27,29.1,60.0,0.7
2019-02-28,29.5,59.0,0.6
2019-03-01,31.4,49.0,0.0
2019-03-02,30.9,57.0,0.2
2019-03-03,31.7,65.0,0.0
2019-03-04,31.9,61.0,0.0
2019-03-05,32.1,57.0,0.3
2019-03-06,32.1,41.0,0.0
2019-03-07,32.3,42.0,0.0
2019-03-08,32.7,39.0,0.0
2019-03-09,33.5,38.0,0.0
2019-03-10,32.5,52.0,0.0
2019-03-11,34.2,49.0,0.0
2019-03-12,32.2,47.0,0.1
