date,temp_max,humidity,rainfall
2019-01-01,24.2,64.0,0.0
2019-01-02,25.5,65.0,0.0
2019-01-03,26.0,70.0,0.0
2019-01-04,25.4,66.0,0.0
2019-01-05,25.7,69.0,0.0
2019-01-06,26.7,68.0,0.0
2019-01-07,26.0,67.0,0.0
2019-01-08,23.5,57.0,0.0
2019-01-09,24.2,60.0,0.0
2019-01-10,24.4,67.0,0.0
2019-01-11,25.6,64.0,0.0
2019-01-12,26.8,63.0,0.0
2019-01-13,27.4,64.0,0.0
2019-01-14,25.9,70.0,0.2
2019-01-15,24.7,55.0,0.0
2019-01-16,25.0,54.0,0.0
2019-01-17,26.5,57.0,0.0
2019-01-18,26.8,55.0,0.0
2019-01-19,26.6,50.0,0.0
2019-01-20,28.2,53.0,0.0
2019-01-21,29.4,50.0,0.0
2019-01-22,28.8,55.0,0.0
2019-01-23,28.8,66.0,0.0
2019-01-24,27.4,67.0,0.2
2019-01-25,25.3,75.0,2.5
2019-01-26,22.0,85.0,10.2
2019-01-27,22.9,80.0,0.0
2019-01-28,23.1,72.0,0.0
2019-01-29,22.1,53.0,0.0
2019-01-30,23.0,56.0,0.0
2019-01-31,25.1,58.0,0.0
2019-02-01,26.7,56.0,0.0
2019-02-02,28.5,59.0,0.0
2019-02-03,28.5,57.0,0.0
2019-02-04,28.8,57.0,0.0
2019-02-05,29.7,56.0,0.0
2019-02-06,30.3,52.0,0.0
2019-02-07,30.2,54.0,0.0
2019-02-08,24.1,80.0,3.3
2019-02-09,25.0,57.0,0.0
2019-02-10,24.9,45.0,0.0
2019-02-11,27.1,55.0,0.0
2019-02-12,29.1,54.0,0.0
2019-02-13,30.9,56.0,0.0
2019-02-14,31.6,53.0,0.0
2019-02-15,30.6,57.0,1.1
2019-02-16,27.2,79.0,15.1
2019-02-17,27.5,69.0,0.0
2019-02-18,28.1,56.0,0.0
2019-02-19,31.4,56.0,0.0
2019-02-20,32.3,55.0,0.0
2019-02-21,33.2,59.0,0.0
2019-02-22,34.1,58.0,0.0
2019-02-23,32.8,57.0,0.1
2019-02-24,33.5,58.0,0.0
2019-02-25,31.9,53.0,0.1
2019-02-26,31.3,46.0,0.0
2019-02-27,31.0,46.0,0.0
2019-02-28,28.2,50.0,0.0
2019-03-01,28.9,46.0,0.0
2019-03-02,31.2,54.0,0.0
2019-03-03,31.5,62.0,0.0
2019-03-04,33.2,60.0,0.0
2019-03-05,32.3,53.0,0.3
2019-03-06,30.4,47.0,0.0
2019-03-07,30.1,39.0,0.0
2019-03-08,31.4,39.0,0.0
2019-03-09,34.1,46.0,0.0
2019-03-10,34.8,46.0,0.0
2019-03-11,34.7,48.0,0.0
2019-03-12,34.2,56.0,0.0
2019-03-13,35.2,52.0,0.0
2019-03-14,34.8,50.0,0.0
2019-03-15,34.8,58.0,0.4
2019-03-16,34.3,55.0,0.1
2019-03-17,34.8,54.0,0.4
2019-03-18,30.9,63.0,0.3
2019-03-19,32.7,59.0,0.2
2019-03-20,33.8,65.0,5.1
2019-03-21,34.0,65.0,3.3
2019-03-22,34.8,54.0,0.0
2019-03-23,34.7,40.0,0.0
2019-03-24,35.2,32.0,0.0
2019-03-25,36.3,37.0,0.0
2019-03-26,36.7,32.0,0.0
2019-03-27,35.3,40.0,0.0
2019-03-28,36.4,32.0,0.0
2019-03-29,38.1,38.0,0.0
2019-03-30,39.7,34.0,0.0
2019-03-31,39.8,28.0,0.0
2019-04-01,37.9,32.0,0.0
2019-04-02,38.1,32.0,0.0
2019-04-03,38.5,36.0,0.0
2019-04-04,37.3,37.0,0.0
2019-04-05,37.7,35.0,0.1
2019-04-06,38.8,34.0,0.0
2019-04-07,39.2,33.0,0.0
2019-04-08,36.0,36.0,0.0
2019-04-09,37.3,38.0,0.0
2019-04-10,40.1,39.0,0.4
2019-04-11,38.0,37.0,0.0
2019-04-12,37.2,36.0,0.4
2019-04-13,39.8,32.0,0.0
2019-04-14,40.7,31.0,0.0
2019-04-15,40.0,34.0,0.0
2019-04-16,35.5,37.0,0.1
2019-04-17,36.3,44.0,0.0
2019-04-18,36.0,46.0,0.0
2019-04-19,36.9,46.0,0.0
2019-04-20,36.1,49.0,0.0
2019-04-21,36.5,47.0,1.2
2019-04-22,38.0,38.0,0.0
2019-04-23,39.3,29.0,0.0
2019-04-24,41.0,28.0,0.0
2019-04-25,41.3,27.0,0.0
2019-04-26,42.0,27.0,0.0
2019-04-27,42.6,26.0,0.0
2019-04-28,43.1,25.0,0.0
2019-04-29,42.4,28.0,0.0
2019-04-30,42.0,31.0,0.0
2019-05-01,40.9,32.0,0.0
2019-05-02,39.2,42.0,0.0
2019-05-03,39.6,45.0,0.0
2019-05-04,40.5,38.0,0.0
2019-05-05,38.7,39.0,0.0
