date,temp_max,humidity,rainfall
2019-01-01,22.8,58.0,0.0
2019-01-02,24.4,57.0,0.0
2019-01-03,24.0,51.0,0.0
2019-01-04,23.0,51.0,0.0
2019-01-05,24.5,52.0,0.0
2019-01-06,25.5,57.0,0.0
2019-01-07,24.5,56.0,0.0
2019-01-08,21.5,68.0,0.0
2019-01-09,22.6,62.0,0.0
2019-01-10,21.4,54.0,0.0
2019-01-11,23.1,56.0,0.0
2019-01-12,24.4,61.0,0.0
2019-01-13,25.5,63.0,0.0
2019-01-14,23.9,59.0,0.2
2019-01-15,22.4,44.0,0.0
2019-01-16,22.4,42.0,0.0
2019-01-17,23.8,46.0,0.0
2019-01-18,24.5,46.0,0.0
2019-01-19,24.5,47.0,0.0
2019-01-20,26.3,43.0,0.0
2019-01-21,27.5,45.0,0.0
2019-01-22,27.4,48.0,0.0
2019-01-23,26.7,56.0,0.0
2019-01-24,23.6,71.0,0.5
2019-01-25,19.2,83.0,7.6
2019-01-26,17.5,89.0,5.6
2019-01-27,19.7,84.0,0.8
2019-01-28,20.4,63.0,0.2
2019-01-29,19.9,53.0,0.0
2019-01-30,20.2,54.0,0.0
2019-01-31,23.6,52.0,0.0
2019-02-01,25.0,52.0,0.0
2019-02-02,26.2,47.0,0.0
2019-02-03,26.9,49.0,0.0
2019-02-04,28.1,55.0,0.0
2019-02-05,28.5,52.0,0.0
2019-02-06,29.0,50.0,0.0
2019-02-07,29.0,44.0,0.0
2019-02-08,23.3,78.0,8.6
2019-02-09,22.0,54.0,3.7
2019-02-10,22.4,51.0,0.0
2019-02-11,24.4,51.0,0.0
2019-02-12,26.5,53.0,0.0
2019-02-13,28.6,51.0,0.0
2019-02-14,30.1,49.0,0.0
2019-02-15,27.1,60.0,1.4
2019-02-16,25.1,76.0,0.4
2019-02-17,25.6,54.0,0.0
2019-02-18,27.4,51.0,0.0
2019-02-19,29.4,49.0,0.0
2019-02-20,31.0,48.0,0.0
2019-02-21,32.8,47.0,0.0
2019-02-22,34.8,43.0,0.0
2019-02-23,31.2,57.0,0.0
2019-02-24,30.1,56.0,0.6
2019-02-25,28.1,61.0,0.6
2019-02-26,28.0,50.0,0.5
2019-02-27,28.3,47.0,0.4
2019-02-28,25.5,53.0,0.8
2019-03-01,26.4,45.0,0.0
2019-03-02,28.6,39.0,0.0
2019-03-03,28.5,56.0,1.5
2019-03-04,30.1,62.0,4.9
2019-03-05,28.5,60.0,2.0
2019-03-06,27.5,49.0,0.0
2019-03-07,27.9,42.0,0.0
2019-03-08,29.2,38.0,0.0
2019-03-09,30.9,35.0,0.0
2019-03-10,32.5,38.0,0.0
2019-03-11,32.8,41.0,0.0
2019-03-12,34.3,36.0,0.0
2019-03-13,33.7,39.0,0.0
2019-03-14,30.6,65.0,3.5
2019-03-15,29.0,70.0,4.6
2019-03-16,30.0,68.0,0.0
2019-03-17,29.0,64.0,9.4
2019-03-18,27.9,72.0,2.9
2019-03-19,30.5,56.0,0.0
2019-03-20,31.2,40.0,0.0
2019-03-21,31.8,61.0,0.3
2019-03-22,33.8,44.0,0.0
2019-03-23,32.5,31.0,0.0
2019-03-24,33.2,31.0,0.0
2019-03-25,34.3,35.0,0.0
2019-03-26,32.8,38.0,0.0
2019-03-27,33.4,39.0,0.0
2019-03-28,35.1,33.0,0.0
2019-03-29,36.0,34.0,0.0
2019-03-30,38.3,32.0,0.0
2019-03-31,38.8,22.0,0.0
2019-04-01,37.0,25.0,0.0
2019-04-02,37.0,20.0,0.0
