date,temp_max,humidity,rainfall
2019-01-01,28.6,47.0,0.0
2019-01-02,29.1,51.0,0.0
2019-01-03,30.0,50.0,0.0
2019-01-04,30.4,45.0,0.0
2019-01-05,29.9,47.0,0.0
2019-01-06,29.8,54.0,0.0
2019-01-07,30.8,53.0,0.0
2019-01-08,29.3,48.0,0.0
2019-01-09,29.7,45.0,0.0
2019-01-10,29.1,45.0,0.0
2019-01-11,29.2,52.0,0.0
2019-01-12,29.7,58.0,0.0
2019-01-13,29.9,61.0,0.0
2019-01-14,30.6,55.0,0.0
2019-01-15,29.5,52.0,0.0
2019-01-16,29.9,48.0,0.0
2019-01-17,29.5,56.0,0.0
2019-01-18,31.0,58.0,0.0
2019-01-19,30.7,45.0,0.0
2019-01-20,31.8,42.0,0.0
2019-01-21,32.2,43.0,0.0
2019-01-22,30.8,54.0,0.0
2019-01-23,31.6,49.0,0.0
2019-01-24,31.5,43.0,0.0
2019-01-25,30.5,49.0,0.0
2019-01-26,30.1,53.0,0.1
2019-01-27,28.5,69.0,3.4
2019-01-28,23.9,85.0,15.3
2019-01-29,27.0,66.0,0.0
2019-01-30,27.0,57.0,0.0
2019-01-31,28.1,58.0,0.0
2019-02-01,28.6,62.0,0.0
2019-02-02,30.2,61.0,0.0
2019-02-03,30.7,51.0,0.0
2019-02-04,31.2,49.0,0.0
2019-02-05,31.5,49.0,0.0
2019-02-06,31.5,52.0,0.0
2019-02-07,33.0,47.0,0.0
2019-02-08,31.2,57.0,0.0
2019-02-09,32.0,58.0,0.0
2019-02-10,32.2,39.0,0.0
2019-02-11,31.8,46.0,0.0
2019-02-12,33.2,41.0,0.0
2019-02-13,33.8,37.0,0.0
2019-02-14,34.4,47.0,0.0
2019-02-15,35.2,42.0,0.0
2019-02-16,33.5,51.0,0.0
2019-02-17,31.9,62.0,0.2
2019-02-18,34.2,49.0,0.0
2019-02-19,35.3,41.0,0.0
2019-02-20,35.5,58.0,0.0
2019-02-21,35.9,52.0,0.0
2019-02-22,37.3,43.0,0.0
2019-02-23,37.4,38.0,0.0
2019-02-24,37.7,34.0,0.0
2019-02-25,35.6,37.0,0.0
2019-02-26,34.3,47.0,0.0
2019-02-27,33.0,59.0,0.1
2019-02-28,31.8,69.0,0.6
2019-03-01,34.2,52.0,0.1
2019-03-02,33.6,57.0,0.4
2019-03-03,34.5,61.0,0.0
2019-03-04,35.0,60.0,0.0
2019-03-05,34.8,58.0,0.3
2019-03-06,37.0,49.0,0.0
2019-03-07,36.3,31.0,0.0
2019-03-08,36.4,35.0,0.0
2019-03-09,35.7,40.0,0.0
2019-03-10,35.7,58.0,0.0
2019-03-11,37.4,47.0,0.0
2019-03-12,37.8,46.0,0.1
2019-03-13,38.6,38.0,0.0
2019-03-14,38.5,32.0,0.0
2019-03-15,39.0,27.0,0.0
