date,temp_max,humidity,rainfall
2019-01-01,21.8,57.0,0.0
2019-01-02,23.2,52.0,0.0
2019-01-03,22.2,50.0,0.0
2019-01-04,22.5,50.0,0.0
2019-01-05,23.6,59.0,0.0
2019-01-06,24.9,64.0,0.0
2019-01-07,22.1,66.0,0.1
2019-01-08,20.8,73.0,0.0
2019-01-09,21.2,65.0,0.0
2019-01-10,21.3,55.0,0.0
2019-01-11,22.5,58.0,0.0
2019-01-12,23.7,64.0,0.0
2019-01-13,26.0,64.0,0.0
2019-01-14,22.6,61.0,0.3
2019-01-15,21.1,50.0,0.0
2019-01-16,22.0,41.0,0.0
2019-01-17,23.5,43.0,0.0
2019-01-18,23.4,45.0,0.0
2019-01-19,23.8,47.0,0.0
2019-01-20,25.0,43.0,0.0
2019-01-21,26.7,45.0,0.0
2019-01-22,27.2,44.0,0.0
2019-01-23,27.0,51.0,0.0
2019-01-24,23.8,66.0,0.1
2019-01-25,21.1,79.0,6.8
2019-01-26,16.1,89.0,10.8
2019-01-27,19.2,83.0,0.0
2019-01-28,20.1,69.0,0.0
2019-01-29,18.9,54.0,0.0
2019-01-30,20.0,53.0,0.0
2019-01-31,23.6,53.0,0.0
2019-02-01,24.4,51.0,0.0
2019-02-02,25.8,46.0,0.0
2019-02-03,26.0,50.0,0.0
2019-02-04,26.5,52.0,0.0
2019-02-05,27.6,53.0,0.0
2019-02-06,28.4,53.0,0.0
2019-02-07,28.8,46.0,0.0
2019-02-08,23.6,76.0,12.9
2019-02-09,21.1,58.0,6.3
2019-02-10,22.0,49.0,0.0
2019-02-11,24.0,52.0,0.0
2019-02-12,26.4,54.0,0.0
2019-02-13,28.5,49.0,0.0
2019-02-14,29.4,48.0,0.0
2019-02-15,27.9,56.0,1.0
2019-02-16,24.5,74.0,4.0
2019-02-17,24.9,56.0,0.0
2019-02-18,25.2,57.0,0.0
2019-02-19,28.4,55.0,0.0
2019-02-20,29.9,49.0,0.0
2019-02-21,32.2,47.0,0.0
2019-02-22,33.5,47.0,0.0
2019-02-23,30.2,58.0,0.0
2019-02-24,29.5,61.0,1.0
2019-02-25,28.2,61.0,0.4
2019-02-26,26.8,54.0,0.0
2019-02-27,27.5,55.0,1.2
